DATE,NUMERO/NOME DO RELATORIO,SUCESSO-FRACASSO
2020-07-03 02:23:05,1,FRACASSO
2020-07-03 02:23:08,2,FRACASSO
2020-07-03 02:23:10,3,FRACASSO
2020-07-03 02:23:12,4,FRACASSO
2020-07-03 02:23:17,5,FRACASSO
2020-07-03 02:23:21,6,FRACASSO
2020-07-03 02:23:23,7,FRACASSO
2020-07-03 02:23:28,8,FRACASSO
2020-07-03 02:23:31,9,FRACASSO
2020-07-03 02:23:33,10,FRACASSO
2020-07-03 02:23:36,11,FRACASSO
2020-07-03 02:23:38,12,FRACASSO
2020-07-03 02:23:42,13,FRACASSO
2020-07-03 02:23:44,14,FRACASSO
2020-07-03 02:23:47,15,FRACASSO
2020-07-03 02:23:49,16,FRACASSO
2020-07-03 02:23:52,17,FRACASSO
2020-07-03 02:23:54,18,FRACASSO
2020-07-03 02:23:56,19,FRACASSO
2020-07-03 02:23:59,20,FRACASSO
2020-07-03 02:24:03,21,FRACASSO
2020-07-03 02:24:05,22,FRACASSO
2020-07-03 02:24:06,22,FRACASSO
2020-07-03 02:24:08,23,FRACASSO
2020-07-03 02:24:09,23,FRACASSO
2020-07-03 02:24:10,24,sucesso
2020-07-03 02:24:11,24,sucesso
2020-07-03 02:24:24,25,sucesso
2020-07-03 02:24:25,25,sucesso
2020-07-03 02:24:38,26,sucesso
2020-07-03 02:24:39,26,sucesso
2020-07-03 02:24:52,27,sucesso
2020-07-03 02:24:53,27,sucesso
2020-07-03 02:25:05,28,sucesso
2020-07-03 02:25:08,28,sucesso
2020-07-03 02:25:08,28,sucesso
2020-07-03 02:25:19,29,sucesso
2020-07-03 02:25:22,29,sucesso
2020-07-03 02:25:22,29,sucesso
2020-07-03 02:25:34,31,sucesso
2020-07-03 02:25:37,31,sucesso
2020-07-03 02:25:37,31,sucesso
2020-07-03 02:25:49,32,sucesso
2020-07-03 02:25:51,32,sucesso
2020-07-03 02:25:51,32,sucesso
2020-07-03 02:26:03,33,sucesso
2020-07-03 02:26:06,33,sucesso
2020-07-03 02:26:06,34,sucesso
2020-07-03 02:26:07,33,sucesso
2020-07-03 02:26:18,34,sucesso
2020-07-03 02:26:28,34,sucesso
2020-07-03 02:26:30,34,sucesso
2020-07-03 02:26:30,35,sucesso
2020-07-03 02:26:33,35,sucesso
2020-07-03 02:26:43,35,sucesso
2020-07-03 02:26:45,35,sucesso
2020-07-03 02:26:48,36,sucesso
2020-07-03 02:26:46,36,sucesso
2020-07-03 02:26:58,36,sucesso
2020-07-03 02:27:00,36,sucesso
2020-07-03 02:27:05,37,sucesso
2020-07-03 02:27:09,37,sucesso
2020-07-03 02:27:10,37,sucesso
2020-07-03 02:27:12,37,sucesso
2020-07-03 02:27:14,37,sucesso
2020-07-03 02:27:20,38,sucesso
2020-07-03 02:27:23,38,sucesso
2020-07-03 02:27:24,38,sucesso
2020-07-03 02:27:26,38,sucesso
2020-07-03 02:27:28,38,sucesso
2020-07-03 02:27:35,39,sucesso
2020-07-03 02:27:39,39,sucesso
2020-07-03 02:27:38,39,sucesso
2020-07-03 02:27:42,39,sucesso
2020-07-03 02:27:43,39,sucesso
2020-07-03 02:27:49,40,sucesso
2020-07-03 02:27:55,40,sucesso
2020-07-03 02:27:55,40,sucesso
2020-07-03 02:27:56,40,sucesso
2020-07-03 02:27:58,40,sucesso
2020-07-03 02:28:06,41,sucesso
2020-07-03 02:28:06,41,sucesso
2020-07-03 02:28:10,41,sucesso
2020-07-03 02:28:09,41,sucesso
2020-07-03 02:28:11,41,sucesso
2020-07-03 02:28:12,41,sucesso
2020-07-03 02:28:21,42,sucesso
2020-07-03 02:28:21,42,sucesso
2020-07-03 02:28:25,42,sucesso
2020-07-03 02:28:25,42,sucesso
2020-07-03 02:28:26,42,sucesso
2020-07-03 02:28:27,42,sucesso
2020-07-03 02:28:36,43,sucesso
2020-07-03 02:28:36,43,sucesso
2020-07-03 02:28:40,43,sucesso
2020-07-03 02:28:40,43,sucesso
2020-07-03 02:28:41,43,sucesso
2020-07-03 02:28:42,43,sucesso
2020-07-03 02:28:52,44,sucesso
2020-07-03 02:28:52,44,sucesso
2020-07-03 02:28:56,44,sucesso
2020-07-03 02:28:57,44,sucesso
2020-07-03 02:28:57,44,sucesso
2020-07-03 02:28:57,44,sucesso
2020-07-03 02:29:06,45,sucesso
2020-07-03 02:29:08,45,sucesso
2020-07-03 02:29:09,45,sucesso
2020-07-03 02:29:12,45,sucesso
2020-07-03 02:29:12,45,sucesso
2020-07-03 02:29:13,45,sucesso
2020-07-03 02:29:13,45,sucesso
2020-07-03 02:29:23,46,sucesso
2020-07-03 02:29:23,46,sucesso
2020-07-03 02:29:24,46,sucesso
2020-07-03 02:29:31,46,sucesso
2020-07-03 02:29:31,46,sucesso
2020-07-03 02:29:31,46,sucesso
2020-07-03 02:29:33,47,sucesso
2020-07-03 02:29:38,47,sucesso
2020-07-03 02:29:39,47,sucesso
2020-07-03 02:29:39,47,sucesso
2020-07-03 02:29:45,47,sucesso
2020-07-03 02:29:47,47,sucesso
2020-07-03 02:29:47,47,sucesso
2020-07-03 02:29:49,48,sucesso
2020-07-03 02:29:54,48,sucesso
2020-07-03 02:29:56,48,sucesso
2020-07-03 02:29:57,48,sucesso
2020-07-03 02:30:00,48,sucesso
2020-07-03 02:30:03,48,sucesso
2020-07-03 02:30:03,48,sucesso
2020-07-03 02:30:04,49,sucesso
2020-07-03 02:30:07,50,sucesso
2020-07-03 02:30:09,49,sucesso
2020-07-03 02:30:11,49,sucesso
2020-07-03 02:30:11,49,sucesso
2020-07-03 02:30:15,49,sucesso
2020-07-03 02:30:18,49,sucesso
2020-07-03 02:30:19,49,sucesso
2020-07-03 02:30:20,50,sucesso
2020-07-03 02:30:23,50,sucesso
2020-07-03 02:30:29,50,sucesso
2020-07-03 02:30:21,51,sucesso
2020-07-03 02:30:27,50,sucesso
2020-07-03 02:30:26,50,sucesso
2020-07-03 02:30:32,50,sucesso
2020-07-03 02:30:33,50,sucesso
2020-07-03 02:30:39,51,sucesso
2020-07-03 02:30:40,51,sucesso
2020-07-03 02:30:44,51,sucesso
2020-07-03 02:30:45,52,sucesso
2020-07-03 02:30:45,51,sucesso
2020-07-03 02:30:47,51,sucesso
2020-07-03 02:30:45,51,sucesso
2020-07-03 02:30:49,51,sucesso
2020-07-03 02:30:54,52,sucesso
2020-07-03 02:30:55,52,sucesso
2020-07-03 02:31:00,52,sucesso
2020-07-03 02:31:01,53,sucesso
2020-07-03 02:31:02,52,sucesso
2020-07-03 02:31:03,52,sucesso
2020-07-03 02:31:04,52,sucesso
2020-07-03 02:31:05,52,sucesso
2020-07-03 02:31:06,54,sucesso
2020-07-03 02:31:09,53,sucesso
2020-07-03 02:31:09,53,sucesso
2020-07-03 02:31:14,53,sucesso
2020-07-03 02:31:16,54,sucesso
