,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",234,21.1,28.20,6,2.6
1,Águas Claras,"-15,835755","-48,023704",112,10.1,65.64,3,2.7
2,Recanto das Emas,"-15,91697","-48,101851",15,1.4,11.33,1,6.7
3,Samambaia,"-15,874647","-48,101735",40,3.6,16.33,1,2.5
4,Taguatinga,"-15,829303","-48,055925",37,3.3,17.77,1,2.7
5,Vicente Pires,"-15,80135","-48,029207",30,2.7,40.84,0,0.0
6,CENTRAL,"-15,787416","-47,904364",368,33.2,93.71,3,0.8
7,Plano Piloto,"-15,79558","-47,880991",216,19.5,93.79,1,0.5
8,Sudoeste/Octogonal,"-15,791981","-47,929973",46,4.2,83.25,1,2.2
9,Cruzeiro,"-15,783461","-47,935849",14,1.3,45.37,0,0.0
10,Lago Norte,"-15,716136","-47,872314",22,2.0,59.26,0,0.0
11,Lago Sul,"-15,866769","-47,863069",69,6.2,227.57,1,1.4
12,Varjão do Torto,"-15,709046","-47,878307",1,0.1,11.33,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",111,10.0,29.15,8,7.2
14,Candangolândia,"-15,850394","-47,948315",2,0.2,12.24,0,0.0
15,Parkway,"-15,912218","-47,958777",15,1.4,65.05,0,0.0
16,Guará,"-15,819059","-47,97966",58,5.2,41.26,4,6.9
17,Núcleo Bandeirante,"-15,872164","-47,968502",11,1.0,45.80,1,9.1
18,Riacho Fundo I,"-15,882885","-48,016893",8,0.7,18.26,2,25.0
19,Riacho Fundo II,"-15,924313","-48,037374",5,0.5,5.34,0,0.0
20,SCIA (Estrutural),"-15,783705","-47,987222",10,0.9,27.20,1,10.0
21,NORTE,"-15,661909","-47,813598",49,4.4,13.80,0,0.0
22,Fercal,"-15,598803","-47,86915",0,0.0,0.00,0,0.0
23,Planaltina,"-15,713838","-47,520359",20,1.8,10.20,0,0.0
24,Sobradinho I,"-15,653501","-47,802874",26,2.3,36.53,0,0.0
25,Sobradinho II,"-15,621837","-47,803434",3,0.3,3.83,0,0.0
26,SUL,"-16,025131","-48,051063",63,5.7,23.08,5,7.9
27,Gama,"-15,99793","-48,145463",38,3.4,26.45,3,7.9
28,Santa Maria,"-16,024697","-47,990179",25,2.3,19.34,2,8.0
29,OESTE,"-15,76191","-48,139419",60,5.4,11.81,4,6.7
30,Brazlândia,"-15,631225","-48,131325",6,0.5,9.37,0,0.0
31,Ceilândia,"-15,817297","-48,170523",54,4.9,12.17,4,7.4
32,LESTE,"-15,835614","-47,715819",222,20.1,70.80,2,0.9
33,Itapoã,"-15,744747","-47,764271",2,0.2,3.09,0,0.0
34,Paranoá,"-15,931541","-47,525609",5,0.5,6.69,0,0.0
35,São Sebastião,"-15,934012","-47,756858",33,3.0,28.45,0,0.0
36,Jardim Botânico,"-15,855691","-47,809974",21,1.9,36.12,2,9.5
37,População Privada de Liberdade,"-15,90473","-47,80732",161,14.5,1199.17,0,0.0
