,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-07-01,SUDOESTE,"-15,848741","-48,067949",10873,24.1,1310,160,1.5
1,2020-07-01,Águas Claras,"-15,835755","-48,023704",1870,4.1,1095,13,0.7
2,2020-07-01,Recanto das Emas,"-15,91697","-48,101851",1355,3.0,1023,30,2.2
3,2020-07-01,Samambaia,"-15,874647","-48,101735",3490,7.7,1424,52,1.5
4,2020-07-01,Taguatinga,"-15,829303","-48,055925",3513,7.8,1687,56,1.6
5,2020-07-01,Vicente Pires,"-15,80135","-48,029207",645,1.4,878.12,9,1.4
6,2020-07-01,CENTRAL,"-15,787416","-47,904364",5701,12.6,1451,53,0.9
7,2020-07-01,Plano Piloto,"-15,79558","-47,880991",3547,7.9,1540,34,1.0
8,2020-07-01,Sudoeste/Octogonal,"-15,791981","-47,929973",678,1.5,1226,8,1.2
9,2020-07-01,Cruzeiro,"-15,783461","-47,935849",380,0.8,1231,1,0.3
10,2020-07-01,Lago Norte,"-15,716136","-47,872314",406,0.9,1093,2,0.5
11,2020-07-01,Lago Sul,"-15,866769","-47,863069",629,1.4,2074,7,1.1
12,2020-07-01,Varjão do Torto,"-15,709046","-47,878307",61,0.1,690.90,1,0.0
13,2020-07-01,CENTRO SUL,"-15,832904","-47,964603",5122,11.4,1345,65,1.3
14,2020-07-01,Candangolândia,"-15,850394","-47,948315",322,0.7,1970,4,1.2
15,2020-07-01,Parkway,"-15,912218","-47,958777",277,0.6,1201,3,1.1
16,2020-07-01,Guará,"-15,819059","-47,97966",1908,4.2,1357,27,1.4
17,2020-07-01,Núcleo Bandeirante,"-15,872164","-47,968502",414,0.9,1723,8,1.9
18,2020-07-01,Riacho Fundo I,"-15,882885","-48,016893",989,2.2,2257,9,0.9
19,2020-07-01,Riacho Fundo II,"-15,924313","-48,037374",536,1.2,572.55,2,0.4
20,2020-07-01,SCIA (Estrutural),"-15,783705","-47,987222",616,1.4,1675,12,1.9
21,2020-07-01,SIA,"-15,802812","-47,960215",60,0.1,2289,0,0.0
22,2020-07-01,NORTE,"-15,661909","-47,813598",3670,8.1,1033,54,1.5
23,2020-07-01,Fercal,"-15,598803","-47,86915",29,0.1,306.17,1,0.0
24,2020-07-01,Planaltina,"-15,713838","-47,520359",1564,3.5,797.61,30,1.9
25,2020-07-01,Sobradinho I,"-15,653501","-47,802874",1758,3.9,2470,20,1.1
26,2020-07-01,Sobradinho II,"-15,621837","-47,803434",319,0.7,407.50,3,0.9
27,2020-07-01,SUL,"-16,025131","-48,051063",4149,9.2,1520,58,1.4
28,2020-07-01,Gama,"-15,99793","-48,145463",2446,5.4,1702,34,1.4
29,2020-07-01,Santa Maria,"-16,024697","-47,990179",1703,3.8,1317,24,1.4
30,2020-07-01,OESTE,"-15,76191","-48,139419",7649,17.0,1506,139,1.8
31,2020-07-01,Brazlândia,"-15,631225","-48,131325",687,1.5,1072,14,2.0
32,2020-07-01,Ceilândia,"-15,817297","-48,170523",6962,15.4,1568,125,1.8
33,2020-07-01,LESTE,"-15,835614","-47,715819",5040,11.2,1607,38,0.8
34,2020-07-01,Itapoã,"-15,744747","-47,764271",825,1.8,1274,7,0.8
35,2020-07-01,Paranoá,"-15,931541","-47,525609",1980,4.4,2650,10,0.5
36,2020-07-01,São Sebastião,"-15,934012","-47,756858",1648,3.7,1420,14,0.8
37,2020-07-01,Jardim Botânico,"-15,855691","-47,809974",587,1.3,1009,4,0.7
38,2020-07-01,RA em Investigação,nan,nan,1559,3.5,0,0.0,
39,2020-07-01,Total DF,-15.773805,-47.807301,45111,100,1477,567,1.3
