,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-07-31,SUDOESTE,"-15,848741","-48,067949",23636,25.2,2848,375,1.6
1,2020-07-31,Águas Claras,"-15,835755","-48,023704",4797,5.1,2811,41,0.9
2,2020-07-31,Recanto das Emas,"-15,91697","-48,101851",2929,3.1,2211,62,2.1
3,2020-07-31,Samambaia,"-15,874647","-48,101735",6773,7.2,2764,122,1.8
4,2020-07-31,Taguatinga,"-15,829303","-48,055925",7593,8.1,3647,129,1.7
5,2020-07-31,Vicente Pires,"-15,80135","-48,029207",1544,1.6,2102,21,1.4
6,2020-07-31,CENTRAL,"-15,787416","-47,904364",13530,14.4,3445,126,0.9
7,2020-07-31,Plano Piloto,"-15,79558","-47,880991",8382,8.9,3639,89,1.1
8,2020-07-31,Sudoeste/Octogonal,"-15,791981","-47,929973",1700,1.8,3076,10,0.6
9,2020-07-31,Cruzeiro,"-15,783461","-47,935849",923,1.0,2991,5,0.5
10,2020-07-31,Lago Norte,"-15,716136","-47,872314",916,1.0,2467,8,0.9
11,2020-07-31,Lago Sul,"-15,866769","-47,863069",1457,1.6,4805,11,0.8
12,2020-07-31,Varjão do Torto,"-15,709046","-47,878307",152,0.2,1721,3,0.0
13,2020-07-31,CENTRO SUL,"-15,832904","-47,964603",10416,11.1,2735,144,1.4
14,2020-07-31,Candangolândia,"-15,850394","-47,948315",670,0.7,4100,10,1.5
15,2020-07-31,Parkway,"-15,912218","-47,958777",626,0.7,2714,13,2.1
16,2020-07-31,Guará,"-15,819059","-47,97966",4211,4.5,2995,58,1.4
17,2020-07-31,Núcleo Bandeirante,"-15,872164","-47,968502",866,0.9,3605,9,1.0
18,2020-07-31,Riacho Fundo I,"-15,882885","-48,016893",1766,1.9,4030,22,1.2
19,2020-07-31,Riacho Fundo II,"-15,924313","-48,037374",1348,1.4,1439,13,1.0
20,2020-07-31,SCIA (Estrutural),"-15,783705","-47,987222",867,0.9,2357,19,2.2
21,2020-07-31,SIA,"-15,802812","-47,960215",62,0.1,2365,0,0.0
22,2020-07-31,NORTE,"-15,661909","-47,813598",8033,8.6,2262,129,1.6
23,2020-07-31,Fercal,"-15,598803","-47,86915",70,0.1,739.02,1,0.0
24,2020-07-31,Planaltina,"-15,713838","-47,520359",3384,3.6,1725,71,2.1
25,2020-07-31,Sobradinho I,"-15,653501","-47,802874",3843,4.1,5400,48,1.2
26,2020-07-31,Sobradinho II,"-15,621837","-47,803434",736,0.8,940.18,9,1.2
27,2020-07-31,SUL,"-16,025131","-48,051063",8546,9.1,3130,157,1.8
28,2020-07-31,Gama,"-15,99793","-48,145463",5144,5.5,3579,91,1.8
29,2020-07-31,Santa Maria,"-16,024697","-47,990179",3402,3.6,2631,66,1.9
30,2020-07-31,OESTE,"-15,76191","-48,139419",14531,15.5,2861,320,2.2
31,2020-07-31,Brazlândia,"-15,631225","-48,131325",1323,1.4,2066,25,1.9
32,2020-07-31,Ceilândia,"-15,817297","-48,170523",13208,14.1,2975,295,2.2
33,2020-07-31,LESTE,"-15,835614","-47,715819",8518,9.1,2716,82,1.0
34,2020-07-31,Itapoã,"-15,744747","-47,764271",1436,1.5,2217,14,1.0
35,2020-07-31,Paranoá,"-15,931541","-47,525609",2917,3.1,3905,31,1.1
36,2020-07-31,São Sebastião,"-15,934012","-47,756858",3023,3.2,2606,26,0.9
37,2020-07-31,Jardim Botânico,"-15,855691","-47,809974",1142,1.2,1964,8,0.7
38,2020-07-31,População Privada de Liberdade,"-15,90473","-47,80732",1708,1.8,12721,3,0.2
39,2020-07-31,RA em Investigação,nan,nan,4771,5.1,0,0.0,
40,2020-07-31,Total DF,-15.773805,-47.807301,93689,100,3069,1333,1.4
