,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,313,23.6,37.73,7,2.2
1,Águas Claras,-15.835754999999999,-48.023703999999995,150,11.3,87.91,4,2.7
2,Recanto Das Emas,-15.916970000000001,-48.101851,19,1.4,14.35,1,5.3
3,Samambaia,-15.874647,-48.101735,57,4.3,23.27,1,1.8
4,Taguatinga,-15.829303,-48.055925,50,3.8,24.02,1,2.0
5,Vicente Pires,-15.80135,-48.029207,37,2.8,50.37,0,0.0
6,Central,-15.787416,-47.904364,392,29.6,99.82,3,0.8
7,Plano Piloto,-15.79558,-47.880990999999995,227,17.1,98.56,1,0.4
8,Sudoeste/Octogonal,-15.791981,-47.929973,49,3.7,88.67,1,2.0
9,Cruzeiro,-15.783460999999999,-47.935849,14,1.1,45.37,0,0.0
10,Lago Norte,-15.716135999999999,-47.872314,23,1.7,61.95,0,0.0
11,Lago Sul,-15.866769,-47.863069,78,5.9,257.26,1,1.3
12,Varjão do Torto,-15.709045999999999,-47.878307,1,0.1,11.33,0,0.0
13,Centro Sul,-15.832904000000001,-47.964603000000004,136,10.3,35.71,8,5.9
14,Candangolândia,-15.850394,-47.948315,3,0.2,18.36,0,0.0
15,Parkway,-15.912218,-47.958777000000005,18,1.4,78.06,0,0.0
16,Guará,-15.819059,-47.979659999999996,68,5.1,48.38,4,5.9
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,12,0.9,49.96,1,8.3
18,Riacho Fundo I,-15.882885,-48.016892999999996,14,1.1,31.95,2,14.3
19,Riacho Fundo II,-15.924313,-48.037374,6,0.5,6.41,0,0.0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,14,1.1,38.07,1,7.1
21,Norte,-15.661909,-47.813598,65,4.9,18.31,0,0.0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,Planaltina,-15.713838,-47.520359,28,2.1,14.28,0,0.0
24,Sobradinho I,-15.653501,-47.802873999999996,34,2.6,47.78,0,0.0
25,Sobradinho II,-15.621837,-47.803434,3,0.2,3.83,0,0.0
26,Sul,-16.025131,-48.051063,76,5.7,27.84,6,7.9
27,Gama,-15.997929999999998,-48.145463,46,3.5,32.01,4,8.7
28,Santa Maria,-16.024697,-47.990179,30,2.3,23.21,2,6.7
29,Oeste,-15.76191,-48.139419000000004,75,5.7,14.77,4,5.3
30,Brazlândia,-15.631225,-48.131325,9,0.7,14.06,0,0.0
31,Leste,-15.835614000000001,-47.715819,268,20.2,85.47,2,0.7
32,Itapoã,-15.744747,-47.764271,3,0.2,4.63,0,0.0
33,Paranoá,-15.931541000000001,-47.525609,11,0.8,14.73,0,0.0
34,São Sebastião,-15.934012,-47.756858,41,3.1,35.35,0,0.0
35,Jardim Botânico,-15.855691,-47.809974,29,2.2,49.88,2,6.9
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,184,13.9,1370.48,0,0.0
