,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,-15.848741,-48.067949,460,22.1,55.44,9,2.0
1,RECANTO DAS EMAS,-15.916970000000001,-48.101851,32,1.5,24.16,1,3.1
2,SAMAMBAIA,-15.874647,-48.101735,92,4.4,37.56,3,3.3
3,TAGUATINGA,-15.829303,-48.055925,94,4.5,45.15,1,1.1
4,VICENTE PIRES,-15.80135,-48.029207,44,2.1,59.90,0,0.0
5,CENTRAL,-15.787416,-47.904364,536,25.8,136.49,3,0.6
6,PLANO PILOTO,-15.79558,-47.880990999999995,305,14.7,132.43,1,0.3
7,SUDOESTE/OCTOGONAL,-15.791981,-47.929973,69,3.3,124.87,1,1.4
8,CRUZEIRO,-15.783460999999999,-47.935849,19,0.9,61.58,0,0.0
9,LAGO NORTE,-15.716135999999999,-47.872314,28,1.3,75.42,0,0.0
10,LAGO SUL,-15.866769,-47.863069,113,5.4,372.69,1,0.9
11,VARJÃO DO TORTO,-15.709045999999999,-47.878307,2,0.1,22.65,0,0.0
12,CENTRO SUL,-15.832904000000001,-47.964603000000004,216,10.4,56.72,9,4.2
13,CANDANGOLÂNDIA,-15.850394,-47.948315,6,0.3,36.72,0,0.0
14,PARKWAY,-15.912218,-47.958777000000005,28,1.3,121.43,0,0.0
15,GUARÁ,-15.819059,-47.979659999999996,103,5.0,73.28,4,3.9
16,NÚCLEO BANDEIRANTE,-15.872164000000001,-47.968502,16,0.8,66.61,1,6.3
17,RIACHO FUNDO I,-15.882885,-48.016892999999996,27,1.3,61.62,3,11.1
18,RIACHO FUNDO II,-15.924313,-48.037374,12,0.6,12.82,0,0.0
19,SCIA (ESTRUTURAL),-15.783705,-47.987221999999996,22,1.1,59.83,1,4.5
20,S I A,-15.802812,-47.960215000000005,2,0.1,76.31,0,0.0
21,NORTE,-15.661909,-47.813598,117,5.6,32.96,1,0.9
22,FERCAL,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,PLANALTINA,-15.713838,-47.520359,64,3.1,32.64,1,1.6
24,SOBRADINHO I,-15.653501,-47.802873999999996,47,2.3,66.04,0,0.0
25,SOBRADINHO II,-15.621837,-47.803434,6,0.3,7.66,0,0.0
26,SUL,-16.025131,-48.051063,124,6.0,45.43,6,4.8
27,GAMA,-15.997929999999998,-48.145463,76,3.7,52.89,4,5.3
28,SANTA MARIA,-16.024697,-47.990179,48,2.3,37.13,2,4.2
29,OESTE,-15.76191,-48.139419000000004,114,5.5,22.45,5,4.4
30,BRAZLÂNDIA,-15.631225,-48.131325,18,0.9,28.11,0,0.0
31,CEILÂNDIA,-15.817297,-48.170522999999996,96,4.6,21.63,5,5.2
32,LESTE,-15.835614000000001,-47.715819,488,23.5,155.63,2,0.4
33,ITAPOÃ,-15.744747,-47.764271,6,0.3,9.27,0,0.0
34,PARANOÁ,-15.931541000000001,-47.525609,17,0.8,22.76,0,0.0
35,SÃO SEBASTIÃO,-15.934012,-47.756858,52,2.5,44.83,0,0.0
36,JARDIM BOTÂNICO,-15.855691,-47.809974,43,2.1,73.96,2,4.7
37,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,370,17.8,2755.85,0,0.0
38,RA em investigação,nan,nan,23,1.1,0,0.0,
