,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2021-03-07,SUDOESTE,"-15,848741","-48,067949",72777,27.1,8771,1285,1.8
1,2021-03-07,Águas Claras,"-15,835755","-48,023704",17125,6.4,10035,156,0.9
2,2021-03-07,Recanto das Emas,"-15,91697","-48,101851",7473,2.8,5642,165,2.2
3,2021-03-07,Samambaia,"-15,874647","-48,101735",17811,6.6,7270,371,2.1
4,2021-03-07,Taguatinga,"-15,829303","-48,055925",24540,9.1,11788,499,2.0
5,2021-03-07,Vicente Pires,"-15,80135","-48,029207",5828,2.2,7934,94,1.6
6,2021-03-07,CENTRAL,"-15,787416","-47,904364",48112,17.9,12251,548,1.1
7,2021-03-07,Plano Piloto,"-15,79558","-47,880991",28963,10.8,12575,353,1.2
8,2021-03-07,Sudoeste/Octogonal,"-15,791981","-47,929973",6632,2.5,12001,47,0.7
9,2021-03-07,Cruzeiro,"-15,783461","-47,935849",3441,1.3,11152,45,1.3
10,2021-03-07,Lago Norte,"-15,716136","-47,872314",3704,1.4,9976,46,1.2
11,2021-03-07,Lago Sul,"-15,866769","-47,863069",4873,1.8,16071,48,1.0
12,2021-03-07,CENTRO SUL,"-15,832904","-47,964603",30559,11.4,8025,518,1.7
13,2021-03-07,Candangolândia,"-15,850394","-47,948315",1626,0.6,9952,29,1.8
14,2021-03-07,Parkway,"-15,912218","-47,958777",2279,0.8,9883,36,1.6
15,2021-03-07,Guará,"-15,819059","-47,97966",14739,5.5,10485,236,1.6
16,2021-03-07,Núcleo Bandeirante,"-15,872164","-47,968502",2542,0.9,10583,53,2.1
17,2021-03-07,Riacho Fundo I,"-15,882885","-48,016893",4995,1.9,11400,89,1.8
18,2021-03-07,Riacho Fundo II,"-15,924313","-48,037374",2663,1.0,2844,43,1.6
19,2021-03-07,SCIA (Estrutural),"-15,783705","-47,987222",1636,0.6,4449,32,2.0
20,2021-03-07,SIA,"-15,802812","-47,960215",79,0.0,3014,0,0.0
21,2021-03-07,NORTE,"-15,661909","-47,813598",23733,8.8,6685,470,2.0
22,2021-03-07,Fercal,"-15,598803","-47,86915",230,0.1,2428,2,0.0
23,2021-03-07,Planaltina,"-15,713838","-47,520359",10420,3.9,5313,221,2.1
24,2021-03-07,Sobradinho I,"-15,653501","-47,802874",11616,4.3,16322,213,1.8
25,2021-03-07,Sobradinho II,"-15,621837","-47,803434",1467,0.5,1873,34,2.3
26,2021-03-07,SUL,"-16,025131","-48,051063",23886,8.9,8750,523,2.2
27,2021-03-07,Gama,"-15,99793","-48,145463",14108,5.3,9818,311,2.2
28,2021-03-07,Santa Maria,"-16,024697","-47,990179",9778,3.6,7563,212,2.2
29,2021-03-07,OESTE,"-15,76191","-48,139419",37258,13.9,7336,939,2.5
30,2021-03-07,Brazlândia,"-15,631225","-48,131325",4085,1.5,6380,97,2.4
31,2021-03-07,Ceilândia,"-15,817297","-48,170523",33173,12.4,7474,842,2.5
32,2021-03-07,LESTE,"-15,835614","-47,715819",17659,6.6,5631,233,1.3
33,2021-03-07,Itapoã,"-15,744747","-47,764271",2527,0.9,3902,25,1.0
34,2021-03-07,Paranoá,"-15,931541","-47,525609",4888,1.8,6544,77,1.6
35,2021-03-07,São Sebastião,"-15,934012","-47,756858",7300,2.7,6293,104,1.4
36,2021-03-07,Jardim Botânico,"-15,855691","-47,809974",2944,1.1,5063,23,0.8
37,2021-03-07,População Privada de Liberdade,"-15,90473","-47,80732",1986,0.7,14792,4,0.2
38,2021-03-07,RA em Investigação,nan,nan,12407,4.6,0,0.0,
39,2021-03-07,Total DF,-15.773805,-47.807301,268377,100,8791,4516,1.7
