,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2021-01-07,SUDOESTE,"-15,848741","-48,067949",61313,27.3,7390,1135,1.9
1,2021-01-07,Águas Claras,"-15,835755","-48,023704",13917,6.2,8155,128,0.9
2,2021-01-07,Recanto das Emas,"-15,91697","-48,101851",6461,2.9,4878,152,2.4
3,2021-01-07,Samambaia,"-15,874647","-48,101735",15279,6.8,6237,336,2.2
4,2021-01-07,Taguatinga,"-15,829303","-48,055925",20854,9.3,10017,438,2.1
5,2021-01-07,Vicente Pires,"-15,80135","-48,029207",4802,2.1,6537,81,1.7
6,2021-01-07,CENTRAL,"-15,787416","-47,904364",38063,16.9,9692,463,1.2
7,2021-01-07,Plano Piloto,"-15,79558","-47,880991",23010,10.2,9990,307,1.3
8,2021-01-07,Sudoeste/Octogonal,"-15,791981","-47,929973",5184,2.3,9381,41,0.8
9,2021-01-07,Cruzeiro,"-15,783461","-47,935849",2796,1.2,9062,36,1.3
10,2021-01-07,Lago Norte,"-15,716136","-47,872314",2846,1.3,7665,34,1.2
11,2021-01-07,Lago Sul,"-15,866769","-47,863069",3854,1.7,12711,39,1.0
12,2021-01-07,CENTRO SUL,"-15,832904","-47,964603",25876,11.5,6795,456,1.8
13,2021-01-07,Candangolândia,"-15,850394","-47,948315",1441,0.6,8819,25,1.7
14,2021-01-07,Parkway,"-15,912218","-47,958777",1819,0.8,7888,34,1.9
15,2021-01-07,Guará,"-15,819059","-47,97966",12089,5.4,8600,213,1.8
16,2021-01-07,Núcleo Bandeirante,"-15,872164","-47,968502",2148,1.0,8942,47,2.2
17,2021-01-07,Riacho Fundo I,"-15,882885","-48,016893",4357,1.9,9944,73,1.7
18,2021-01-07,Riacho Fundo II,"-15,924313","-48,037374",2416,1.1,2580,35,1.4
19,2021-01-07,SCIA (Estrutural),"-15,783705","-47,987222",1534,0.7,4171,29,1.9
20,2021-01-07,SIA,"-15,802812","-47,960215",72,0.0,2747,0,0.0
21,2021-01-07,NORTE,"-15,661909","-47,813598",19603,8.7,5521,403,2.1
22,2021-01-07,Fercal,"-15,598803","-47,86915",167,0.1,1763,1,0.0
23,2021-01-07,Planaltina,"-15,713838","-47,520359",8671,3.9,4422,196,2.3
24,2021-01-07,Sobradinho I,"-15,653501","-47,802874",9508,4.2,13360,176,1.9
25,2021-01-07,Sobradinho II,"-15,621837","-47,803434",1257,0.6,1605,30,2.4
26,2021-01-07,SUL,"-16,025131","-48,051063",20235,9.0,7413,460,2.3
27,2021-01-07,Gama,"-15,99793","-48,145463",12091,5.4,8414,265,2.2
28,2021-01-07,Santa Maria,"-16,024697","-47,990179",8144,3.6,6299,195,2.4
29,2021-01-07,OESTE,"-15,76191","-48,139419",32702,14.5,6439,853,2.6
30,2021-01-07,Brazlândia,"-15,631225","-48,131325",3373,1.5,5268,79,2.3
31,2021-01-07,Ceilândia,"-15,817297","-48,170523",29329,13.0,6608,774,2.6
32,2021-01-07,LESTE,"-15,835614","-47,715819",15141,6.7,4828,203,1.3
33,2021-01-07,Itapoã,"-15,744747","-47,764271",2308,1.0,3564,24,1.0
34,2021-01-07,Paranoá,"-15,931541","-47,525609",4369,1.9,5849,69,1.6
35,2021-01-07,São Sebastião,"-15,934012","-47,756858",6124,2.7,5279,89,1.5
36,2021-01-07,Jardim Botânico,"-15,855691","-47,809974",2340,1.0,4024,17,0.7
37,2021-01-07,População Privada de Liberdade,"-15,90473","-47,80732",1947,0.9,14501,4,0.2
38,2021-01-07,RA em Investigação,nan,nan,9958,4.4,0,0.0,
39,2021-01-07,Total DF,-15.773805,-47.807301,224838,100,7365,3973,1.8
