,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,-15.848741,-48.067949,507,21.6,61.11,11,2.2
1,RECANTO DAS EMAS,-15.916970000000001,-48.101851,34,1.4,25.67,2,5.9
2,SAMAMBAIA,-15.874647,-48.101735,111,4.7,45.31,3,2.7
3,TAGUATINGA,-15.829303,-48.055925,112,4.8,53.80,1,0.9
4,VICENTE PIRES,-15.80135,-48.029207,44,1.9,59.90,0,0.0
5,CENTRAL,-15.787416,-47.904364,573,24.4,145.91,3,0.5
6,PLANO PILOTO,-15.79558,-47.880990999999995,326,13.9,141.55,1,0.3
7,SUDOESTE/OCTOGONAL,-15.791981,-47.929973,76,3.2,137.54,1,1.3
8,CRUZEIRO,-15.783460999999999,-47.935849,19,0.8,61.58,0,0.0
9,LAGO NORTE,-15.716135999999999,-47.872314,32,1.4,86.19,0,0.0
10,LAGO SUL,-15.866769,-47.863069,118,5.0,389.18,1,0.8
11,VARJÃO DO TORTO,-15.709045999999999,-47.878307,2,0.1,22.65,0,0.0
12,CENTRO SUL,-15.832904000000001,-47.964603000000004,258,11.0,67.75,9,3.5
13,CANDANGOLÂNDIA,-15.850394,-47.948315,10,0.4,61.21,0,0.0
14,PARKWAY,-15.912218,-47.958777000000005,29,1.2,125.77,0,0.0
15,GUARÁ,-15.819059,-47.979659999999996,116,4.9,82.53,4,3.4
16,NÚCLEO BANDEIRANTE,-15.872164000000001,-47.968502,18,0.8,74.94,1,5.6
17,RIACHO FUNDO I,-15.882885,-48.016892999999996,41,1.7,93.58,3,7.3
18,RIACHO FUNDO II,-15.924313,-48.037374,16,0.7,17.09,0,0.0
19,SCIA (ESTRUTURAL),-15.783705,-47.987221999999996,25,1.1,67.99,1,4.0
20,S I A,-15.802812,-47.960215000000005,3,0.1,114.46,0,0.0
21,NORTE,-15.661909,-47.813598,137,5.8,38.59,1,0.7
22,FERCAL,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,PLANALTINA,-15.713838,-47.520359,79,3.4,40.29,1,1.3
24,SOBRADINHO I,-15.653501,-47.802873999999996,51,2.2,71.66,0,0.0
25,SOBRADINHO II,-15.621837,-47.803434,7,0.3,8.94,0,0.0
26,SUL,-16.025131,-48.051063,145,6.2,53.12,6,4.1
27,GAMA,-15.997929999999998,-48.145463,85,3.6,59.16,4,4.7
28,SANTA MARIA,-16.024697,-47.990179,60,2.6,46.41,2,3.3
29,OESTE,-15.76191,-48.139419000000004,136,5.8,26.78,6,4.4
30,BRAZLÂNDIA,-15.631225,-48.131325,27,1.1,42.17,0,0.0
31,LESTE,-15.835614000000001,-47.715819,140,6.0,44.65,2,1.4
32,ITAPOÃ,-15.744747,-47.764271,10,0.4,15.44,0,0.0
33,PARANOÁ,-15.931541000000001,-47.525609,22,0.9,29.46,0,0.0
34,SÃO SEBASTIÃO,-15.934012,-47.756858,62,2.6,53.45,0,0.0
35,JARDIM BOTÂNICO,-15.855691,-47.809974,46,2.0,79.12,2,4.3
36,POPULAÇÃO PRIVADA DE LIBERDADE,-15.904729999999999,-47.807320000000004,428,18.2,3187.84,0,0.0
37,RA EM INVESTIGAÇÃO,nan,nan,24,1.0,0,0,0.0
