,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",362,22.8,43.63,8,2.2
1,Águas Claras,"-15,835755","-48,023704",169,10.6,99.04,4,2.4
2,Recanto das Emas,"-15,91697","-48,101851",23,1.4,17.37,1,4.3
3,Samambaia,"-15,874647","-48,101735",64,4.0,26.13,2,3.1
4,Taguatinga,"-15,829303","-48,055925",65,4.1,31.22,1,1.5
5,Vicente Pires,"-15,80135","-48,029207",41,2.6,55.82,0,0.0
6,CENTRAL,"-15,787416","-47,904364",423,26.6,107.72,3,0.7
7,Plano Piloto,"-15,79558","-47,880991",244,15.3,105.94,1,0.4
8,Sudoeste/Octogonal,"-15,791981","-47,929973",55,3.5,99.53,1,1.8
9,Cruzeiro,"-15,783461","-47,935849",16,1.0,51.86,0,0.0
10,Lago Norte,"-15,716136","-47,872314",24,1.5,64.64,0,0.0
11,Lago Sul,"-15,866769","-47,863069",82,5.2,270.45,1,1.2
12,Varjão do Torto,"-15,709046","-47,878307",2,0.1,22.65,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",167,10.5,43.86,8,4.8
14,Candangolândia,"-15,850394","-47,948315",4,0.3,24.48,0,0.0
15,Parkway,"-15,912218","-47,958777",21,1.3,91.07,0,0.0
16,Guará,"-15,819059","-47,97966",84,5.3,59.76,4,4.8
17,Núcleo Bandeirante,"-15,872164","-47,968502",14,0.9,58.29,1,7.1
18,Riacho Fundo I,"-15,882885","-48,016893",19,1.2,43.36,2,10.5
19,Riacho Fundo II,"-15,924313","-48,037374",9,0.6,9.61,0,0.0
20,SCIA (Estrutural),"-15,783705","-47,987222",14,0.9,38.07,1,7.1
21,NORTE,"-15,661909","-47,813598",82,5.2,23.10,1,1.2
22,Fercal,"-15,598803","-47,86915",0,0.0,0.00,0,0.0
23,Planaltina,"-15,713838","-47,520359",40,2.5,20.40,1,2.5
24,Sobradinho I,"-15,653501","-47,802874",37,2.3,51.99,0,0.0
25,Sobradinho II,"-15,621837","-47,803434",5,0.3,6.39,0,0.0
26,SUL,"-16,025131","-48,051063",85,5.3,31.14,6,7.1
27,Gama,"-15,99793","-48,145463",53,3.3,36.89,4,7.5
28,Santa Maria,"-16,024697","-47,990179",32,2.0,24.75,2,6.3
29,OESTE,"-15,76191","-48,139419",91,5.7,17.92,4,4.4
30,Brazlândia,"-15,631225","-48,131325",14,0.9,21.87,0,0.0
31,Ceilândia,"-15,817297","-48,170523",77,4.8,17.35,5,6.5
32,LESTE,"-15,835614","-47,715819",380,23.9,121.19,2,0.5
33,Itapoã,"-15,744747","-47,764271",5,0.3,7.72,0,0.0
34,Paranoá,"-15,931541","-47,525609",10,0.6,13.39,0,0.0
35,São Sebastião,"-15,934012","-47,756858",45,2.8,38.80,0,0.0
36,Jardim Botânico,"-15,855691","-47,809974",32,2.0,55.04,2,6.3
