,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-09-01,SUDOESTE,"-15,848741","-48,067949",39211,27.2,4726,689,1.8
1,2020-09-01,Águas Claras,"-15,835755","-48,023704",8230,5.7,4823,77,0.9
2,2020-09-01,Recanto das Emas,"-15,91697","-48,101851",4446,3.1,3356,102,2.3
3,2020-09-01,Samambaia,"-15,874647","-48,101735",10563,7.3,4312,211,2.0
4,2020-09-01,Taguatinga,"-15,829303","-48,055925",13156,9.1,6319,256,1.9
5,2020-09-01,Vicente Pires,"-15,80135","-48,029207",2816,2.0,3833,43,1.5
6,2020-09-01,CENTRAL,"-15,787416","-47,904364",21350,14.8,5436,246,1.2
7,2020-09-01,Plano Piloto,"-15,79558","-47,880991",13050,9.1,5666,172,1.3
8,2020-09-01,Sudoeste/Octogonal,"-15,791981","-47,929973",2875,2.0,5202,19,0.7
9,2020-09-01,Cruzeiro,"-15,783461","-47,935849",1496,1.0,4848,20,1.3
10,2020-09-01,Lago Norte,"-15,716136","-47,872314",1505,1.0,4053,16,1.1
11,2020-09-01,Lago Sul,"-15,866769","-47,863069",2179,1.5,7186,16,0.7
12,2020-09-01,CENTRO SUL,"-15,832904","-47,964603",16204,11.3,4255,261,1.6
13,2020-09-01,Candangolândia,"-15,850394","-47,948315",961,0.7,5881,18,1.9
14,2020-09-01,Parkway,"-15,912218","-47,958777",1030,0.7,4467,21,2.0
15,2020-09-01,Guará,"-15,819059","-47,97966",7080,4.9,5036,121,1.7
16,2020-09-01,Núcleo Bandeirante,"-15,872164","-47,968502",1330,0.9,5537,21,1.6
17,2020-09-01,Riacho Fundo I,"-15,882885","-48,016893",2744,1.9,6262,37,1.3
18,2020-09-01,Riacho Fundo II,"-15,924313","-48,037374",1917,1.3,2047,21,1.1
19,2020-09-01,SCIA (Estrutural),"-15,783705","-47,987222",1074,0.7,2920,22,2.0
20,2020-09-01,SIA,"-15,802812","-47,960215",68,0.0,2594,0,0.0
21,2020-09-01,NORTE,"-15,661909","-47,813598",12459,8.7,3509,234,1.9
22,2020-09-01,Fercal,"-15,598803","-47,86915",106,0.1,1119,1,0.0
23,2020-09-01,Planaltina,"-15,713838","-47,520359",5537,3.8,2823,119,2.1
24,2020-09-01,Sobradinho I,"-15,653501","-47,802874",5854,4.1,8225,95,1.6
25,2020-09-01,Sobradinho II,"-15,621837","-47,803434",962,0.7,1228,19,2.0
26,2020-09-01,SUL,"-16,025131","-48,051063",12869,8.9,4714,274,2.1
27,2020-09-01,Gama,"-15,99793","-48,145463",7691,5.3,5352,159,2.1
28,2020-09-01,Santa Maria,"-16,024697","-47,990179",5178,3.6,4005,115,2.2
29,2020-09-01,OESTE,"-15,76191","-48,139419",22412,15.6,4413,528,2.4
30,2020-09-01,Brazlândia,"-15,631225","-48,131325",2194,1.5,3426,49,2.2
31,2020-09-01,Ceilândia,"-15,817297","-48,170523",20218,14.0,4555,479,2.4
32,2020-09-01,LESTE,"-15,835614","-47,715819",11005,7.6,3509,126,1.1
33,2020-09-01,Itapoã,"-15,744747","-47,764271",1769,1.2,2732,19,1.1
34,2020-09-01,Paranoá,"-15,931541","-47,525609",3560,2.5,4766,46,1.3
35,2020-09-01,São Sebastião,"-15,934012","-47,756858",4141,2.9,3570,44,1.1
36,2020-09-01,Jardim Botânico,"-15,855691","-47,809974",1535,1.1,2640,13,0.8
37,2020-09-01,População Privada de Liberdade,"-15,90473","-47,80732",1794,1.2,13362,4,0.2
38,2020-09-01,RA em Investigação,nan,nan,6606,4.6,0,0.0,
39,2020-09-01,Total DF,-15.773805,-47.807301,143910,100,4714,2358,1.6
