,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,333,22.2,40.14,8,2.4
1,Águas Claras,-15.835754999999999,-48.023703999999995,159,10.6,93.18,4,2.5
2,Recanto Das Emas,-15.916970000000001,-48.101851,21,1.4,15.86,1,4.8
3,Samambaia,-15.874647,-48.101735,57,3.8,23.27,2,3.5
4,Taguatinga,-15.829303,-48.055925,58,3.9,27.86,1,1.7
5,Vicente Pires,-15.80135,-48.029207,38,2.5,51.73,0,0.0
6,Central,-15.787416,-47.904364,406,27.1,103.39,3,0.7
7,Plano Piloto,-15.79558,-47.880990999999995,234,15.6,101.60,1,0.4
8,Sudoeste/Octogonal,-15.791981,-47.929973,54,3.6,97.72,1,1.9
9,Cruzeiro,-15.783460999999999,-47.935849,14,0.9,45.37,0,0.0
10,Lago Norte,-15.716135999999999,-47.872314,23,1.5,61.95,0,0.0
11,Lago Sul,-15.866769,-47.863069,79,5.3,260.55,1,1.3
12,Varjão do Torto,-15.709045999999999,-47.878307,2,0.1,22.65,0,0.0
13,Centro Sul,-15.832904000000001,-47.964603000000004,154,10.3,40.44,8,5.2
14,Candangolândia,-15.850394,-47.948315,4,0.3,24.48,0,0.0
15,Parkway,-15.912218,-47.958777000000005,20,1.3,86.74,0,0.0
16,Guará,-15.819059,-47.979659999999996,73,4.9,51.94,4,5.5
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,13,0.9,54.12,1,7.7
18,Riacho Fundo I,-15.882885,-48.016892999999996,17,1.1,38.80,2,11.8
19,Riacho Fundo II,-15.924313,-48.037374,7,0.5,7.48,0,0.0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,19,1.3,51.67,1,5.3
21,Norte,-15.661909,-47.813598,76,5.1,21.41,1,1.3
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,Planaltina,-15.713838,-47.520359,36,2.4,18.36,1,2.8
24,Sobradinho I,-15.653501,-47.802873999999996,35,2.3,49.18,0,0.0
25,Sobradinho II,-15.621837,-47.803434,5,0.3,6.39,0,0.0
26,Sul,-16.025131,-48.051063,82,5.5,30.04,6,7.3
27,Gama,-15.997929999999998,-48.145463,50,3.3,34.80,4,8.0
28,Santa Maria,-16.024697,-47.990179,32,2.1,24.75,2,6.3
29,Oeste,-15.76191,-48.139419000000004,81,5.4,15.95,4,4.9
30,Brazlândia,-15.631225,-48.131325,10,0.7,15.62,0,0.0
31,Leste,-15.835614000000001,-47.715819,367,24.5,117.04,2,0.5
32,Itapoã,-15.744747,-47.764271,4,0.3,6.18,0,0.0
33,Paranoá,-15.931541000000001,-47.525609,11,0.7,14.73,0,0.0
34,São Sebastião,-15.934012,-47.756858,44,2.9,37.93,0,0.0
35,Jardim Botânico,-15.855691,-47.809974,29,1.9,49.88,2,6.9
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,279,18.6,2078.06,0,0.0
