,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2021-01-11,SUDOESTE,"-15,848741","-48,067949",62006,27.3,7473,1139,1.8
1,2021-01-11,Águas Claras,"-15,835755","-48,023704",14142,6.2,8287,129,0.9
2,2021-01-11,Recanto das Emas,"-15,91697","-48,101851",6505,2.9,4911,152,2.3
3,2021-01-11,Samambaia,"-15,874647","-48,101735",15383,6.8,6279,337,2.2
4,2021-01-11,Taguatinga,"-15,829303","-48,055925",21101,9.3,10136,440,2.1
5,2021-01-11,Vicente Pires,"-15,80135","-48,029207",4875,2.1,6636,81,1.7
6,2021-01-11,CENTRAL,"-15,787416","-47,904364",38785,17.0,9876,465,1.2
7,2021-01-11,Plano Piloto,"-15,79558","-47,880991",23431,10.3,10173,307,1.3
8,2021-01-11,Sudoeste/Octogonal,"-15,791981","-47,929973",5297,2.3,9585,41,0.8
9,2021-01-11,Cruzeiro,"-15,783461","-47,935849",2834,1.2,9185,37,1.3
10,2021-01-11,Lago Norte,"-15,716136","-47,872314",2904,1.3,7821,35,1.2
11,2021-01-11,Lago Sul,"-15,866769","-47,863069",3939,1.7,12991,39,1.0
12,2021-01-11,CENTRO SUL,"-15,832904","-47,964603",26200,11.5,6880,457,1.7
13,2021-01-11,Candangolândia,"-15,850394","-47,948315",1446,0.6,8850,25,1.7
14,2021-01-11,Parkway,"-15,912218","-47,958777",1861,0.8,8070,34,1.8
15,2021-01-11,Guará,"-15,819059","-47,97966",12273,5.4,8731,213,1.7
16,2021-01-11,Núcleo Bandeirante,"-15,872164","-47,968502",2167,1.0,9022,47,2.2
17,2021-01-11,Riacho Fundo I,"-15,882885","-48,016893",4400,1.9,10042,73,1.7
18,2021-01-11,Riacho Fundo II,"-15,924313","-48,037374",2428,1.1,2593,36,1.5
19,2021-01-11,SCIA (Estrutural),"-15,783705","-47,987222",1553,0.7,4223,29,1.9
20,2021-01-11,SIA,"-15,802812","-47,960215",72,0.0,2747,0,0.0
21,2021-01-11,NORTE,"-15,661909","-47,813598",19822,8.7,5583,407,2.1
22,2021-01-11,Fercal,"-15,598803","-47,86915",173,0.1,1826,1,0.0
23,2021-01-11,Planaltina,"-15,713838","-47,520359",8766,3.9,4470,198,2.3
24,2021-01-11,Sobradinho I,"-15,653501","-47,802874",9615,4.2,13510,178,1.9
25,2021-01-11,Sobradinho II,"-15,621837","-47,803434",1268,0.6,1619,30,2.4
26,2021-01-11,SUL,"-16,025131","-48,051063",20385,9.0,7468,466,2.3
27,2021-01-11,Gama,"-15,99793","-48,145463",12183,5.4,8478,269,2.2
28,2021-01-11,Santa Maria,"-16,024697","-47,990179",8202,3.6,6344,197,2.4
29,2021-01-11,OESTE,"-15,76191","-48,139419",33002,14.5,6498,859,2.6
30,2021-01-11,Brazlândia,"-15,631225","-48,131325",3424,1.5,5347,80,2.3
31,2021-01-11,Ceilândia,"-15,817297","-48,170523",29578,13.0,6664,779,2.6
32,2021-01-11,LESTE,"-15,835614","-47,715819",15262,6.7,4867,206,1.3
33,2021-01-11,Itapoã,"-15,744747","-47,764271",2317,1.0,3578,24,1.0
34,2021-01-11,Paranoá,"-15,931541","-47,525609",4389,1.9,5876,70,1.6
35,2021-01-11,São Sebastião,"-15,934012","-47,756858",6186,2.7,5333,91,1.5
36,2021-01-11,Jardim Botânico,"-15,855691","-47,809974",2370,1.0,4076,17,0.7
37,2021-01-11,População Privada de Liberdade,"-15,90473","-47,80732",1963,0.9,14620,4,0.2
38,2021-01-11,RA em Investigação,nan,nan,10088,4.4,0,0.0,
39,2021-01-11,Total DF,-15.773805,-47.807301,227513,100,7453,3999,1.8
