,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,-15.848741,-48.067949,1.010,23.3,121.73,20,2.0
1,Recanto das Emas,-15.916970000000001,-48.101851,88,2.0,66.44,3,3.4
2,Samambaia,-15.874647,-48.101735,277,6.4,113.08,7,2.5
3,Taguatinga,-15.829303,-48.055925,275,6.3,132.10,3,1.1
4,Vicente Pires,-15.80135,-48.029207,69,1.6,93.94,0,0.0
5,CENTRAL,-15.787416,-47.904364,885,20.4,225.36,3,0.3
6,Plano Piloto,-15.79558,-47.880990999999995,515,11.9,223.61,1,0.2
7,Sudoeste/octogonal,-15.791981,-47.929973,95,2.2,171.92,1,1.1
8,Cruzeiro,-15.783460999999999,-47.935849,47,1.1,152.33,0,0.0
9,Lago Norte,-15.716135999999999,-47.872314,78,1.8,210.09,0,0.0
10,Lago Sul,-15.866769,-47.863069,147,3.4,484.83,1,0.7
11,Varjão do Torto,-15.709045999999999,-47.878307,3,0.1,33.98,0,0.0
12,CENTRO SUL,-15.832904000000001,-47.964603000000004,409,9.4,107.41,12,2.9
13,Candangolândia,-15.850394,-47.948315,21,0.5,128.53,0,0.0
14,Parkway,-15.912218,-47.958777000000005,41,0.9,177.81,0,0.0
15,Guará,-15.819059,-47.979659999999996,192,4.4,136.60,6,3.1
16,Núcleo Bandeirante,-15.872164000000001,-47.968502,32,0.7,133.23,1,3.1
17,Riacho Fundo I,-15.882885,-48.016892999999996,61,1.4,139.22,3,4.9
18,Riacho Fundo II,-15.924313,-48.037374,24,0.6,25.64,1,4.2
19,Scia (Estrutural),-15.783705,-47.987221999999996,33,0.8,89.75,1,3.0
20,S i a,-15.802812,-47.960215000000005,5,0.1,190.77,0,0.0
21,NORTE,-15.661909,-47.813598,309,7.1,87.04,5,1.6
22,Fercal,-15.598803,-47.86915,4,0.1,42.23,0,0.0
23,Planaltina,-15.713838,-47.520359,155,3.6,79.05,4,2.6
24,Sobradinho I,-15.653501,-47.802873999999996,133,3.1,186.89,1,0.8
25,Sobradinho II,-15.621837,-47.803434,17,0.4,21.72,0,0.0
26,SUL,-16.025131,-48.051063,315,7.3,115.40,8,2.5
27,Gama,-15.997929999999998,-48.145463,192,4.4,133.62,4,2.1
28,Santa Maria,-16.024697,-47.990179,123,2.8,95.15,4,3.3
29,OESTE,-15.76191,-48.139419000000004,435,10.0,85.66,15,3.4
30,Brazlândia,-15.631225,-48.131325,56,1.3,87.46,0,0.0
31,LESTE,-15.835614000000001,-47.715819,282,6.5,89.93,5,1.8
32,Itapoã,-15.744747,-47.764271,19,0.4,29.34,1,5.3
33,Paranoá,-15.931541000000001,-47.525609,70,1.6,93.72,0,0.0
34,São Sebastião,-15.934012,-47.756858,122,2.8,105.18,1,0.8
35,Jardim Botânico,-15.855691,-47.809974,71,1.6,122.12,2,2.8
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,555,12.8,4.133.77,1,0.2
37,Ra em Investigação,nan,nan,139,3.2,0,0,0.0
