,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,191,21.3,23.02,5,2.6
1,Águas Claras,-15.835754999999999,-48.023703999999995,93,10.4,54.50,2,2.2
2,Recanto Das Emas,-15.916970000000001,-48.101851,12,1.3,9.06,1,8.3
3,Samambaia,-15.874647,-48.101735,28,3.1,11.43,1,3.6
4,Taguatinga,-15.829303,-48.055925,32,3.6,15.37,1,3.1
5,Vicente Pires,-15.80135,-48.029207,26,2.9,35.40,0,0.0
6,Central,-15.787416,-47.904364,345,38.5,87.85,3,0.9
7,Plano Piloto,-15.79558,-47.880990999999995,201,22.4,87.27,1,0.5
8,Sudoeste/Octogonal,-15.791981,-47.929973,42,4.7,76.01,1,2.4
9,Cruzeiro,-15.783460999999999,-47.935849,15,1.7,48.62,0,0.0
10,Lago Norte,-15.716135999999999,-47.872314,21,2.3,56.56,0,0.0
11,Lago Sul,-15.866769,-47.863069,66,7.4,217.68,1,1.5
12,Varjão do Torto,-15.709045999999999,-47.878307,0,0.0,0.00,0,0.0
13,Centro Sul,-15.832904000000001,-47.964603000000004,97,10.8,25.47,7,7.2
14,Candangolândia,-15.850394,-47.948315,2,0.2,12.24,0,0.0
15,Parkway,-15.912218,-47.958777000000005,15,1.7,65.05,0,0.0
16,Guará,-15.819059,-47.979659999999996,50,5.6,35.57,3,6.0
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,10,1.1,41.63,1,10.0
18,Riacho Fundo I,-15.882885,-48.016892999999996,6,0.7,13.69,2,33.3
19,Riacho Fundo II,-15.924313,-48.037374,3,0.3,3.20,0,0.0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,9,1.0,24.48,1,11.1
21,Norte,-15.661909,-47.813598,33,3.7,9.30,0,0.0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,Planaltina,-15.713838,-47.520359,13,1.5,6.63,0,0.0
24,Sobradinho I,-15.653501,-47.802873999999996,19,2.1,26.70,0,0.0
25,Sobradinho II,-15.621837,-47.803434,1,0.1,1.28,0,0.0
26,Sul,-16.025131,-48.051063,47,5.2,17.22,5,10.6
27,Gama,-15.997929999999998,-48.145463,28,3.1,19.49,3,10.7
28,Santa Maria,-16.024697,-47.990179,19,2.1,14.70,2,10.5
29,Oeste,-15.76191,-48.139419000000004,38,4.2,7.48,4,10.5
30,Brazlândia,-15.631225,-48.131325,4,0.4,6.25,0,0.0
31,Leste,-15.835614000000001,-47.715819,145,16.2,46.24,2,1.4
32,Itapoã,-15.744747,-47.764271,1,0.1,1.54,0,0.0
33,Paranoá,-15.931541000000001,-47.525609,3,0.3,4.02,0,0.0
34,São Sebastião,-15.934012,-47.756858,22,2.5,18.97,0,0.0
35,Jardim Botânico,-15.855691,-47.809974,19,2.1,32.68,2,10.5
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,100,11.2,744.82,0,0.0
