,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-09-04,SUDOESTE,"-15,848741","-48,067949",40187,27.3,4843,718,1.8
1,2020-09-04,Águas Claras,"-15,835755","-48,023704",8422,5.7,4935,77,0.9
2,2020-09-04,Recanto das Emas,"-15,91697","-48,101851",4553,3.1,3437,107,2.4
3,2020-09-04,Samambaia,"-15,874647","-48,101735",10826,7.4,4419,221,2.0
4,2020-09-04,Taguatinga,"-15,829303","-48,055925",13471,9.2,6470,266,2.0
5,2020-09-04,Vicente Pires,"-15,80135","-48,029207",2915,2.0,3968,47,1.6
6,2020-09-04,CENTRAL,"-15,787416","-47,904364",21810,14.8,5553,259,1.2
7,2020-09-04,Plano Piloto,"-15,79558","-47,880991",13323,9.1,5784,178,1.3
8,2020-09-04,Sudoeste/Octogonal,"-15,791981","-47,929973",2944,2.0,5327,22,0.7
9,2020-09-04,Cruzeiro,"-15,783461","-47,935849",1554,1.1,5036,22,1.4
10,2020-09-04,Lago Norte,"-15,716136","-47,872314",1535,1.0,4134,17,1.1
11,2020-09-04,Lago Sul,"-15,866769","-47,863069",2207,1.5,7279,17,0.8
12,2020-09-04,CENTRO SUL,"-15,832904","-47,964603",16576,11.3,4352,273,1.6
13,2020-09-04,Candangolândia,"-15,850394","-47,948315",986,0.7,6035,18,1.8
14,2020-09-04,Parkway,"-15,912218","-47,958777",1062,0.7,4605,22,2.1
15,2020-09-04,Guará,"-15,819059","-47,97966",7271,4.9,5172,128,1.8
16,2020-09-04,Núcleo Bandeirante,"-15,872164","-47,968502",1359,0.9,5658,21,1.5
17,2020-09-04,Riacho Fundo I,"-15,882885","-48,016893",2800,1.9,6390,39,1.4
18,2020-09-04,Riacho Fundo II,"-15,924313","-48,037374",1948,1.3,2080,22,1.1
19,2020-09-04,SCIA (Estrutural),"-15,783705","-47,987222",1082,0.7,2942,23,2.1
20,2020-09-04,SIA,"-15,802812","-47,960215",68,0.0,2594,0,0.0
21,2020-09-04,NORTE,"-15,661909","-47,813598",12741,8.7,3588,244,1.9
22,2020-09-04,Fercal,"-15,598803","-47,86915",108,0.1,1140,1,0.0
23,2020-09-04,Planaltina,"-15,713838","-47,520359",5692,3.9,2902,123,2.2
24,2020-09-04,Sobradinho I,"-15,653501","-47,802874",5973,4.1,8393,100,1.7
25,2020-09-04,Sobradinho II,"-15,621837","-47,803434",968,0.7,1236,20,2.1
26,2020-09-04,SUL,"-16,025131","-48,051063",13280,9.0,4865,284,2.1
27,2020-09-04,Gama,"-15,99793","-48,145463",7892,5.4,5492,164,2.1
28,2020-09-04,Santa Maria,"-16,024697","-47,990179",5388,3.7,4167,120,2.2
29,2020-09-04,OESTE,"-15,76191","-48,139419",22772,15.5,4483,550,2.4
30,2020-09-04,Brazlândia,"-15,631225","-48,131325",2231,1.5,3484,53,2.4
31,2020-09-04,Ceilândia,"-15,817297","-48,170523",20541,14.0,4628,497,2.4
32,2020-09-04,LESTE,"-15,835614","-47,715819",11136,7.6,3551,131,1.2
33,2020-09-04,Itapoã,"-15,744747","-47,764271",1785,1.2,2756,19,1.1
34,2020-09-04,Paranoá,"-15,931541","-47,525609",3577,2.4,4789,47,1.3
35,2020-09-04,São Sebastião,"-15,934012","-47,756858",4218,2.9,3636,46,1.1
36,2020-09-04,Jardim Botânico,"-15,855691","-47,809974",1556,1.1,2676,15,1.0
37,2020-09-04,População Privada de Liberdade,"-15,90473","-47,80732",1792,1.2,13347,4,0.2
38,2020-09-04,RA em Investigação,nan,nan,6704,4.6,0,0.0,
39,2020-09-04,Total DF,-15.773805,-47.807301,146998,100,4815,2459,1.7
