,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-08-27,SUDOESTE,"-15,848741","-48,067949",37349,27.0,4501,638,1.7
1,2020-08-27,Águas Claras,"-15,835755","-48,023704",7851,5.7,4601,70,0.9
2,2020-08-27,Recanto das Emas,"-15,91697","-48,101851",4256,3.1,3213,97,2.3
3,2020-08-27,Samambaia,"-15,874647","-48,101735",10051,7.3,4103,193,1.9
4,2020-08-27,Taguatinga,"-15,829303","-48,055925",12532,9.1,6019,237,1.9
5,2020-08-27,Vicente Pires,"-15,80135","-48,029207",2659,1.9,3620,41,1.5
6,2020-08-27,CENTRAL,"-15,787416","-47,904364",20623,14.9,5251,232,1.1
7,2020-08-27,Plano Piloto,"-15,79558","-47,880991",12629,9.1,5483,165,1.3
8,2020-08-27,Sudoeste/Octogonal,"-15,791981","-47,929973",2761,2.0,4996,16,0.6
9,2020-08-27,Cruzeiro,"-15,783461","-47,935849",1433,1.0,4644,17,1.2
10,2020-08-27,Lago Norte,"-15,716136","-47,872314",1452,1.1,3910,16,1.1
11,2020-08-27,Lago Sul,"-15,866769","-47,863069",2114,1.5,6972,15,0.7
12,2020-08-27,Varjão do Torto,"-15,709046","-47,878307",234,0.2,2650,3,0.0
13,2020-08-27,CENTRO SUL,"-15,832904","-47,964603",15515,11.2,4074,251,1.6
14,2020-08-27,Candangolândia,"-15,850394","-47,948315",923,0.7,5649,18,2.0
15,2020-08-27,Parkway,"-15,912218","-47,958777",982,0.7,4258,18,1.8
16,2020-08-27,Guará,"-15,819059","-47,97966",6752,4.9,4803,117,1.7
17,2020-08-27,Núcleo Bandeirante,"-15,872164","-47,968502",1269,0.9,5283,19,1.5
18,2020-08-27,Riacho Fundo I,"-15,882885","-48,016893",2598,1.9,5929,36,1.4
19,2020-08-27,Riacho Fundo II,"-15,924313","-48,037374",1871,1.4,1998,21,1.1
20,2020-08-27,SCIA (Estrutural),"-15,783705","-47,987222",1052,0.8,2861,22,2.1
21,2020-08-27,SIA,"-15,802812","-47,960215",68,0.0,2594,0,0.0
22,2020-08-27,NORTE,"-15,661909","-47,813598",11948,8.6,3365,218,1.8
23,2020-08-27,Fercal,"-15,598803","-47,86915",103,0.1,1087,1,0.0
24,2020-08-27,Planaltina,"-15,713838","-47,520359",5267,3.8,2686,113,2.1
25,2020-08-27,Sobradinho I,"-15,653501","-47,802874",5647,4.1,7935,87,1.5
26,2020-08-27,Sobradinho II,"-15,621837","-47,803434",931,0.7,1189,17,1.8
27,2020-08-27,SUL,"-16,025131","-48,051063",12360,8.9,4528,262,2.1
28,2020-08-27,Gama,"-15,99793","-48,145463",7405,5.4,5153,152,2.1
29,2020-08-27,Santa Maria,"-16,024697","-47,990179",4955,3.6,3833,110,2.2
30,2020-08-27,OESTE,"-15,76191","-48,139419",21544,15.6,4242,502,2.3
31,2020-08-27,Brazlândia,"-15,631225","-48,131325",2078,1.5,3245,48,2.3
32,2020-08-27,Ceilândia,"-15,817297","-48,170523",19466,14.1,4385,454,2.3
33,2020-08-27,LESTE,"-15,835614","-47,715819",10728,7.8,3421,120,1.1
34,2020-08-27,Itapoã,"-15,744747","-47,764271",1729,1.3,2670,19,1.1
35,2020-08-27,Paranoá,"-15,931541","-47,525609",3477,2.5,4655,43,1.2
36,2020-08-27,São Sebastião,"-15,934012","-47,756858",4022,2.9,3467,42,1.0
37,2020-08-27,Jardim Botânico,"-15,855691","-47,809974",1500,1.1,2580,12,0.8
38,2020-08-27,População Privada de Liberdade,"-15,90473","-47,80732",1777,1.3,13235,4,0.2
39,2020-08-27,RA em Investigação,nan,nan,6336,4.6,0,0.0,
40,2020-08-27,Total DF,-15.773805,-47.807301,138180,100,4526,2223,1.6
