,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",1113,23.6,134.15,20,1.8
1,Águas Claras,"-15,835755","-48,023704",326,6.9,191.05,7,2.1
2,Recanto das Emas,"-15,91697","-48,101851",96,2.0,72.48,3,3.1
3,Samambaia,"-15,874647","-48,101735",307,6.5,125.33,7,2.3
4,Taguatinga,"-15,829303","-48,055925",306,6.5,146.99,3,1.0
5,Vicente Pires,"-15,80135","-48,029207",78,1.7,106.19,0,0.0
6,CENTRAL,"-15,787416","-47,904364",938,19.9,238.86,4,0.4
7,Plano Piloto,"-15,79558","-47,880991",552,11.7,239.68,2,0.4
8,Sudoeste/Octogonal,"-15,791981","-47,929973",98,2.1,177.35,1,1.0
9,Cruzeiro,"-15,783461","-47,935849",50,1.1,162.05,0,0.0
10,Lago Norte,"-15,716136","-47,872314",80,1.7,215.48,0,0.0
11,Lago Sul,"-15,866769","-47,863069",154,3.3,507.92,1,0.6
12,Varjão do Torto,"-15,709046","-47,878307",4,0.1,45.31,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",435,9.2,114.23,12,2.8
14,Candangolândia,"-15,850394","-47,948315",22,0.5,134.66,0,0.0
15,Parkway,"-15,912218","-47,958777",43,0.9,186.49,0,0.0
16,Guará,"-15,819059","-47,97966",209,4.4,148.69,6,2.9
17,Núcleo Bandeirante,"-15,872164","-47,968502",34,0.7,141.55,1,2.9
18,Riacho Fundo I,"-15,882885","-48,016893",64,1.4,146.07,3,4.7
19,Riacho Fundo II,"-15,924313","-48,037374",25,0.5,26.70,1,4.0
20,SCIA (Estrutural),"-15,783705","-47,987222",33,0.7,89.75,1,3.0
21,SIA,"-15,802812","-47,960215",5,0.1,190.77,0,0.0
22,NORTE,"-15,661909","-47,813598",346,7.3,97.46,6,1.7
23,Fercal,"-15,598803","-47,86915",4,0.1,42.23,0,0.0
24,Planaltina,"-15,713838","-47,520359",169,3.6,86.19,5,3.0
25,Sobradinho I,"-15,653501","-47,802874",152,3.2,213.59,1,0.7
26,Sobradinho II,"-15,621837","-47,803434",21,0.4,26.83,0,0.0
27,SUL,"-16,025131","-48,051063",348,7.4,127.49,8,2.3
28,Gama,"-15,99793","-48,145463",208,4.4,144.76,4,1.9
29,Santa Maria,"-16,024697","-47,990179",140,3.0,108.30,4,2.9
30,OESTE,"-15,76191","-48,139419",495,10.5,97.47,18,3.6
31,Brazlândia,"-15,631225","-48,131325",63,1.3,98.40,0,0.0
32,Ceilândia,"-15,817297","-48,170523",432,9.1,97.34,18,4.2
33,LESTE,"-15,835614","-47,715819",322,6.8,102.69,5,1.6
34,Itapoã,"-15,744747","-47,764271",22,0.5,33.98,1,4.5
35,Paranoá,"-15,931541","-47,525609",85,1.8,113.80,0,0.0
36,São Sebastião,"-15,934012","-47,756858",136,2.9,117.25,1,0.7
37,Jardim Botânico,"-15,855691","-47,809974",79,1.7,135.88,2,2.5
38,População Privada de Liberdade,"-15,90473","-47,80732",584,12.4,4349.77,1,0.2
39,RA em Investigação,nan,nan,142,3.0,0,0.0,
