,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,149,21.3,17.96,0,0
1,Águas Claras,-15.835754999999999,-48.023703999999995,75,10.7,43.95,0,0
2,Recanto Das Emas,-15.916970000000001,-48.101851,6,0.9,4.53,0,0
3,Samambaia,-15.874647,-48.101735,21,3.0,8.57,0,0
4,Taguatinga,-15.829303,-48.055925,22,3.1,10.57,0,0
5,Vicente Pires,-15.80135,-48.029207,25,3.6,34.04,0,0
6,Central,-15.787416,-47.904364,322,46.0,82.00,0,0
7,Plano Piloto,-15.79558,-47.880990999999995,185,26.4,80.33,0,0
8,Sudoeste/Octogonal,-15.791981,-47.929973,42,6.0,76.01,0,0
9,Cruzeiro,-15.783460999999999,-47.935849,10,1.4,32.41,0,0
10,Lago Norte,-15.716135999999999,-47.872314,21,3.0,56.56,0,0
11,Lago Sul,-15.866769,-47.863069,64,9.1,211.08,0,0
12,Varjão do Torto,-15.709045999999999,-47.878307,0,0.0,0.00,0,0
13,Centro Sul,-15.832904000000001,-47.964603000000004,73,10.4,19.17,0,0
14,Candangolândia,-15.850394,-47.948315,0,0.0,0.00,0,0
15,Parkway,-15.912218,-47.958777000000005,11,1.6,47.71,0,0
16,Guará,-15.819059,-47.979659999999996,42,6.0,29.88,0,0
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,9,1.3,37.47,0,0
18,Riacho Fundo I,-15.882885,-48.016892999999996,4,0.6,9.13,0,0
19,Riacho Fundo II,-15.924313,-48.037374,1,0.1,1.07,0,0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,6,0.9,16.32,0,0
21,Norte,-15.661909,-47.813598,26,3.7,7.32,0,0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0
23,Planaltina,-15.713838,-47.520359,8,1.1,4.08,0,0
24,Sobradinho I,-15.653501,-47.802873999999996,17,2.4,23.89,0,0
25,Sobradinho II,-15.621837,-47.803434,1,0.1,1.28,0,0
26,Sul,-16.025131,-48.051063,34,4.9,12.46,0,0
27,Gama,-15.997929999999998,-48.145463,21,3.0,14.61,0,0
28,Santa Maria,-16.024697,-47.990179,13,1.9,10.06,0,0
29,Leste,-15.835614000000001,-47.715819,70,10.0,22.32,0,0
30,Jardim Botânico,-15.855691,-47.809974,15,2.1,25.80,0,0
31,Itapoã,-15.744747,-47.764271,1,0.1,1.54,0,0
32,Paranoá,-15.931541000000001,-47.525609,3,0.4,4.02,0,0
33,São Sebastião,-15.934012,-47.756858,51,7.3,43.97,0,0
34,Oeste,-15.76191,-48.139419000000004,26,3.7,5.12,0,0
35,Brazlândia,-15.631225,-48.131325,0,0.0,0.00,0,0
