,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-07-11,SUDOESTE,"-15,848741","-48,067949",14950,24.5,1801,229,1.5
1,2020-07-11,Águas Claras,"-15,835755","-48,023704",2655,4.4,1555,22,0.8
2,2020-07-11,Recanto das Emas,"-15,91697","-48,101851",2036,3.3,1537,36,1.8
3,2020-07-11,Samambaia,"-15,874647","-48,101735",4674,7.7,1908,84,1.8
4,2020-07-11,Taguatinga,"-15,829303","-48,055925",4686,7.7,2250,75,1.6
5,2020-07-11,Vicente Pires,"-15,80135","-48,029207",899,1.5,1223,12,1.3
6,2020-07-11,CENTRAL,"-15,787416","-47,904364",8141,13.3,2073,80,1.0
7,2020-07-11,Plano Piloto,"-15,79558","-47,880991",5114,8.4,2220,55,1.1
8,2020-07-11,Sudoeste/Octogonal,"-15,791981","-47,929973",928,1.5,1679,9,1.0
9,2020-07-11,Cruzeiro,"-15,783461","-47,935849",555,0.9,1798,3,0.5
10,2020-07-11,Lago Norte,"-15,716136","-47,872314",549,0.9,1478,5,0.9
11,2020-07-11,Lago Sul,"-15,866769","-47,863069",894,1.5,2948,7,0.8
12,2020-07-11,Varjão do Torto,"-15,709046","-47,878307",101,0.2,1143,1,0.0
13,2020-07-11,CENTRO SUL,"-15,832904","-47,964603",6898,11.3,1811,86,1.2
14,2020-07-11,Candangolândia,"-15,850394","-47,948315",489,0.8,2993,6,1.2
15,2020-07-11,Parkway,"-15,912218","-47,958777",385,0.6,1669,8,2.1
16,2020-07-11,Guará,"-15,819059","-47,97966",2517,4.1,1790,31,1.2
17,2020-07-11,Núcleo Bandeirante,"-15,872164","-47,968502",577,0.9,2402,8,1.4
18,2020-07-11,Riacho Fundo I,"-15,882885","-48,016893",1245,2.0,2841,15,1.2
19,2020-07-11,Riacho Fundo II,"-15,924313","-48,037374",931,1.5,994.49,4,0.4
20,2020-07-11,SCIA (Estrutural),"-15,783705","-47,987222",694,1.1,1887,14,2.0
21,2020-07-11,SIA,"-15,802812","-47,960215",60,0.1,2289,0,0.0
22,2020-07-11,NORTE,"-15,661909","-47,813598",5314,8.7,1496,73,1.4
23,2020-07-11,Fercal,"-15,598803","-47,86915",47,0.1,496.20,1,0.0
24,2020-07-11,Planaltina,"-15,713838","-47,520359",2124,3.5,1083,45,2.1
25,2020-07-11,Sobradinho I,"-15,653501","-47,802874",2556,4.2,3591,22,0.9
26,2020-07-11,Sobradinho II,"-15,621837","-47,803434",587,1.0,749.84,5,0.9
27,2020-07-11,SUL,"-16,025131","-48,051063",5382,8.8,1971,78,1.4
28,2020-07-11,Gama,"-15,99793","-48,145463",3207,5.3,2231,46,1.4
29,2020-07-11,Santa Maria,"-16,024697","-47,990179",2175,3.6,1682,32,1.5
30,2020-07-11,OESTE,"-15,76191","-48,139419",9976,16.4,1964,199,2.0
31,2020-07-11,Brazlândia,"-15,631225","-48,131325",892,1.5,1393,17,1.9
32,2020-07-11,Ceilândia,"-15,817297","-48,170523",9084,14.9,2046,182,2.0
33,2020-07-11,LESTE,"-15,835614","-47,715819",6741,11.1,2149,52,0.8
34,2020-07-11,Itapoã,"-15,744747","-47,764271",1207,2.0,1864,10,0.8
35,2020-07-11,Paranoá,"-15,931541","-47,525609",2396,3.9,3207,17,0.7
36,2020-07-11,São Sebastião,"-15,934012","-47,756858",2238,3.7,1929,17,0.8
37,2020-07-11,Jardim Botânico,"-15,855691","-47,809974",900,1.5,1548,5,0.6
38,2020-07-11,População Privada de Liberdade,"-15,90473","-47,80732",1527,2.5,11373,3,0.2
39,2020-07-11,RA em Investigação,nan,nan,2058,3.4,0,0.0,
40,2020-07-11,Total DF,-15.773805,-47.807301,60987,100,1997,797,1.3
