,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-08-10,SUDOESTE,"-15,848741","-48,067949",28647,25.7,3452,459,1.6
1,2020-08-10,Águas Claras,"-15,835755","-48,023704",5954,5.4,3489,55,0.9
2,2020-08-10,Recanto das Emas,"-15,91697","-48,101851",3407,3.1,2572,72,2.1
3,2020-08-10,Samambaia,"-15,874647","-48,101735",7934,7.1,3238,144,1.8
4,2020-08-10,Taguatinga,"-15,829303","-48,055925",9401,8.5,4515,162,1.7
5,2020-08-10,Vicente Pires,"-15,80135","-48,029207",1951,1.8,2656,26,1.3
6,2020-08-10,CENTRAL,"-15,787416","-47,904364",16542,14.9,4212,159,1.0
7,2020-08-10,Plano Piloto,"-15,79558","-47,880991",10194,9.2,4426,114,1.1
8,2020-08-10,Sudoeste/Octogonal,"-15,791981","-47,929973",2160,1.9,3908,11,0.5
9,2020-08-10,Cruzeiro,"-15,783461","-47,935849",1115,1.0,3613,10,0.9
10,2020-08-10,Lago Norte,"-15,716136","-47,872314",1139,1.0,3067,8,0.7
11,2020-08-10,Lago Sul,"-15,866769","-47,863069",1749,1.6,5768,13,0.7
12,2020-08-10,Varjão do Torto,"-15,709046","-47,878307",185,0.2,2095,3,0.0
13,2020-08-10,CENTRO SUL,"-15,832904","-47,964603",12337,11.1,3239,180,1.5
14,2020-08-10,Candangolândia,"-15,850394","-47,948315",776,0.7,4749,11,1.4
15,2020-08-10,Parkway,"-15,912218","-47,958777",782,0.7,3391,14,1.8
16,2020-08-10,Guará,"-15,819059","-47,97966",5227,4.7,3718,78,1.5
17,2020-08-10,Núcleo Bandeirante,"-15,872164","-47,968502",1013,0.9,4217,13,1.3
18,2020-08-10,Riacho Fundo I,"-15,882885","-48,016893",2071,1.9,4726,29,1.4
19,2020-08-10,Riacho Fundo II,"-15,924313","-48,037374",1510,1.4,1612,16,1.1
20,2020-08-10,SCIA (Estrutural),"-15,783705","-47,987222",895,0.8,2434,19,2.1
21,2020-08-10,SIA,"-15,802812","-47,960215",63,0.1,2403,0,0.0
22,2020-08-10,NORTE,"-15,661909","-47,813598",9575,8.6,2697,161,1.7
23,2020-08-10,Fercal,"-15,598803","-47,86915",79,0.1,834.04,1,0.0
24,2020-08-10,Planaltina,"-15,713838","-47,520359",4104,3.7,2092,85,2.1
25,2020-08-10,Sobradinho I,"-15,653501","-47,802874",4574,4.1,6427,63,1.4
26,2020-08-10,Sobradinho II,"-15,621837","-47,803434",818,0.7,1044,12,1.5
27,2020-08-10,SUL,"-16,025131","-48,051063",10192,9.2,3733,180,1.8
28,2020-08-10,Gama,"-15,99793","-48,145463",6121,5.5,4259,103,1.7
29,2020-08-10,Santa Maria,"-16,024697","-47,990179",4071,3.7,3149,77,1.9
30,2020-08-10,OESTE,"-15,76191","-48,139419",17410,15.6,3428,371,2.1
31,2020-08-10,Brazlândia,"-15,631225","-48,131325",1656,1.5,2586,35,2.1
32,2020-08-10,Ceilândia,"-15,817297","-48,170523",15754,14.2,3549,336,2.1
33,2020-08-10,LESTE,"-15,835614","-47,715819",9430,8.5,3007,98,1.0
34,2020-08-10,Itapoã,"-15,744747","-47,764271",1553,1.4,2398,16,1.0
35,2020-08-10,Paranoá,"-15,931541","-47,525609",3148,2.8,4214,36,1.1
36,2020-08-10,São Sebastião,"-15,934012","-47,756858",3444,3.1,2969,33,1.0
37,2020-08-10,Jardim Botânico,"-15,855691","-47,809974",1285,1.2,2210,9,0.7
38,2020-08-10,População Privada de Liberdade,"-15,90473","-47,80732",1737,1.6,12937,4,0.2
39,2020-08-10,RA em Investigação,nan,nan,5384,4.8,0,0.0,
40,2020-08-10,Total DF,-15.773805,-47.807301,111254,100,3644,1608,1.4
