,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",1452,23.4,175.01,28,1.9
1,Águas Claras,"-15,835755","-48,023704",377,6.1,220.94,8,2.1
2,Recanto das Emas,"-15,91697","-48,101851",127,2.0,95.89,3,2.4
3,Samambaia,"-15,874647","-48,101735",433,7.0,176.76,14,3.2
4,Taguatinga,"-15,829303","-48,055925",419,6.8,201.27,3,0.7
5,Vicente Pires,"-15,80135","-48,029207",96,1.5,130.70,0,0.0
6,CENTRAL,"-15,787416","-47,904364",1143,18.4,291.06,8,0.7
7,Plano Piloto,"-15,79558","-47,880991",691,11.2,300.03,6,0.9
8,Sudoeste/Octogonal,"-15,791981","-47,929973",122,2.0,220.78,1,0.8
9,Cruzeiro,"-15,783461","-47,935849",70,1.1,226.87,0,0.0
10,Lago Norte,"-15,716136","-47,872314",92,1.5,247.80,0,0.0
11,Lago Sul,"-15,866769","-47,863069",164,2.6,540.90,1,0.6
12,Varjão do Torto,"-15,709046","-47,878307",4,0.1,45.31,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",565,9.1,148.37,19,3.4
14,Candangolândia,"-15,850394","-47,948315",24,0.4,146.90,1,4.2
15,Parkway,"-15,912218","-47,958777",53,0.9,229.86,1,1.9
16,Guará,"-15,819059","-47,97966",272,4.4,193.51,9,3.3
17,Núcleo Bandeirante,"-15,872164","-47,968502",42,0.7,174.86,1,2.4
18,Riacho Fundo I,"-15,882885","-48,016893",93,1.5,212.26,4,4.3
19,Riacho Fundo II,"-15,924313","-48,037374",34,0.5,36.32,1,2.9
20,SCIA (Estrutural),"-15,783705","-47,987222",43,0.7,116.94,2,4.7
21,SIA,"-15,802812","-47,960215",4,0.1,152.61,0,0.0
22,NORTE,"-15,661909","-47,813598",501,8.1,141.12,8,1.6
23,Fercal,"-15,598803","-47,86915",8,0.1,84.46,0,0.0
24,Planaltina,"-15,713838","-47,520359",249,4.0,126.99,6,2.4
25,Sobradinho I,"-15,653501","-47,802874",215,3.5,302.11,2,0.9
26,Sobradinho II,"-15,621837","-47,803434",29,0.5,37.05,0,0.0
27,SUL,"-16,025131","-48,051063",474,7.6,173.65,10,2.1
28,Gama,"-15,99793","-48,145463",280,4.5,194.87,4,1.4
29,Santa Maria,"-16,024697","-47,990179",194,3.1,150.07,6,3.1
30,OESTE,"-15,76191","-48,139419",703,11.3,138.43,26,3.7
31,Brazlândia,"-15,631225","-48,131325",86,1.4,134.32,2,2.3
32,Ceilândia,"-15,817297","-48,170523",617,10.0,139.02,24,3.9
33,LESTE,"-15,835614","-47,715819",447,7.2,142.56,7,1.6
34,Itapoã,"-15,744747","-47,764271",33,0.5,50.97,1,3.0
35,Paranoá,"-15,931541","-47,525609",144,2.3,192.80,0,0.0
36,São Sebastião,"-15,934012","-47,756858",177,2.9,152.60,3,1.7
37,Jardim Botânico,"-15,855691","-47,809974",93,1.5,159.96,2,2.2
38,População Privada de Liberdade,"-15,90473","-47,80732",671,10.8,4997.77,1,0.1
39,RA em Investigação,nan,nan,241,3.9,0,0.0,
