,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-12-31,SUDOESTE,"-15,848741","-48,067949",60210,27.3,7257,1117,1.9
1,2020-12-31,Águas Claras,"-15,835755","-48,023704",13607,6.2,7974,123,0.9
2,2020-12-31,Recanto das Emas,"-15,91697","-48,101851",6365,2.9,4805,152,2.4
3,2020-12-31,Samambaia,"-15,874647","-48,101735",15050,6.8,6143,330,2.2
4,2020-12-31,Taguatinga,"-15,829303","-48,055925",20487,9.3,9841,433,2.1
5,2020-12-31,Vicente Pires,"-15,80135","-48,029207",4701,2.1,6400,79,1.7
6,2020-12-31,CENTRAL,"-15,787416","-47,904364",36965,16.8,9413,451,1.2
7,2020-12-31,Plano Piloto,"-15,79558","-47,880991",22371,10.1,9713,302,1.3
8,2020-12-31,Sudoeste/Octogonal,"-15,791981","-47,929973",5044,2.3,9128,39,0.8
9,2020-12-31,Cruzeiro,"-15,783461","-47,935849",2713,1.2,8793,35,1.3
10,2020-12-31,Lago Norte,"-15,716136","-47,872314",2747,1.2,7398,33,1.2
11,2020-12-31,Lago Sul,"-15,866769","-47,863069",3721,1.7,12272,36,1.0
12,2020-12-31,CENTRO SUL,"-15,832904","-47,964603",25274,11.5,6637,452,1.8
13,2020-12-31,Candangolândia,"-15,850394","-47,948315",1424,0.6,8715,25,1.8
14,2020-12-31,Parkway,"-15,912218","-47,958777",1764,0.8,7650,34,1.9
15,2020-12-31,Guará,"-15,819059","-47,97966",11825,5.4,8412,213,1.8
16,2020-12-31,Núcleo Bandeirante,"-15,872164","-47,968502",2103,1.0,8755,45,2.1
17,2020-12-31,Riacho Fundo I,"-15,882885","-48,016893",4279,1.9,9766,72,1.7
18,2020-12-31,Riacho Fundo II,"-15,924313","-48,037374",2394,1.1,2557,34,1.4
19,2020-12-31,SCIA (Estrutural),"-15,783705","-47,987222",1414,0.6,3845,29,2.1
20,2020-12-31,SIA,"-15,802812","-47,960215",71,0.0,2708,0,0.0
21,2020-12-31,NORTE,"-15,661909","-47,813598",19210,8.7,5411,394,2.1
22,2020-12-31,Fercal,"-15,598803","-47,86915",156,0.1,1646,1,0.0
23,2020-12-31,Planaltina,"-15,713838","-47,520359",8502,3.9,4335,194,2.3
24,2020-12-31,Sobradinho I,"-15,653501","-47,802874",9312,4.2,13085,169,1.8
25,2020-12-31,Sobradinho II,"-15,621837","-47,803434",1240,0.6,1584,30,2.4
26,2020-12-31,SUL,"-16,025131","-48,051063",19949,9.0,7308,447,2.2
27,2020-12-31,Gama,"-15,99793","-48,145463",11906,5.4,8286,253,2.1
28,2020-12-31,Santa Maria,"-16,024697","-47,990179",8043,3.6,6221,194,2.4
29,2020-12-31,OESTE,"-15,76191","-48,139419",32308,14.7,6361,840,2.6
30,2020-12-31,Brazlândia,"-15,631225","-48,131325",3309,1.5,5168,78,2.4
31,2020-12-31,Ceilândia,"-15,817297","-48,170523",28999,13.2,6533,762,2.6
32,2020-12-31,LESTE,"-15,835614","-47,715819",14933,6.8,4762,203,1.4
33,2020-12-31,Itapoã,"-15,744747","-47,764271",2301,1.0,3553,24,1.0
34,2020-12-31,Paranoá,"-15,931541","-47,525609",4325,2.0,5790,69,1.6
35,2020-12-31,São Sebastião,"-15,934012","-47,756858",6030,2.7,5198,89,1.5
36,2020-12-31,Jardim Botânico,"-15,855691","-47,809974",2277,1.0,3916,17,0.7
37,2020-12-31,População Privada de Liberdade,"-15,90473","-47,80732",1946,0.9,14494,4,0.2
38,2020-12-31,RA em Investigação,nan,nan,9687,4.4,0,0.0,
39,2020-12-31,Total DF,-15.773805,-47.807301,220482,100,7222,3904,1.8
