,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,-15.848741,-48.067949,582,22.6,70.15,13,2.2
1,Recanto das Emas,-15.916970000000001,-48.101851,42,1.6,31.71,2,4.8
2,Samambaia,-15.874647,-48.101735,139,5.4,56.74,4,2.9
3,Taguatinga,-15.829303,-48.055925,129,5.0,61.97,2,1.6
4,Vicente Pires,-15.80135,-48.029207,49,1.9,66.71,0,0.0
5,CENTRAL,-15.787416,-47.904364,598,23.3,152.28,3,0.5
6,Plano Piloto,-15.79558,-47.880990999999995,337,13.1,146.32,1,0.3
7,Sudoeste/octogonal,-15.791981,-47.929973,74,2.9,133.92,1,1.4
8,Cruzeiro,-15.783460999999999,-47.935849,26,1.0,84.27,0,0.0
9,Lago Norte,-15.716135999999999,-47.872314,41,1.6,110.43,0,0.0
10,Lago Sul,-15.866769,-47.863069,118,4.6,389.18,1,0.8
11,Varjão do Torto,-15.709045999999999,-47.878307,2,0.1,22.65,0,0.0
12,CENTRO SUL,-15.832904000000001,-47.964603000000004,284,11.0,74.58,9,3.2
13,Candangolândia,-15.850394,-47.948315,11,0.4,67.33,0,0.0
14,Parkway,-15.912218,-47.958777000000005,31,1.2,134.44,0,0.0
15,Guará,-15.819059,-47.979659999999996,131,5.1,93.20,4,3.1
16,Núcleo Bandeirante,-15.872164000000001,-47.968502,20,0.8,83.27,1,5.0
17,Riacho Fundo I,-15.882885,-48.016892999999996,46,1.8,104.99,3,6.5
18,Riacho Fundo II,-15.924313,-48.037374,16,0.6,17.09,0,0.0
19,Scia (Estrutural),-15.783705,-47.987221999999996,27,1.1,73.43,1,3.7
20,S i a,-15.802812,-47.960215000000005,2,0.1,76.31,0,0.0
21,NORTE,-15.661909,-47.813598,163,6.3,45.91,1,0.6
22,Fercal,-15.598803,-47.86915,1,0.0,10.56,0,0.0
23,Planaltina,-15.713838,-47.520359,89,3.5,45.39,1,1.1
24,Sobradinho I,-15.653501,-47.802873999999996,66,2.6,92.74,0,0.0
25,Sobradinho II,-15.621837,-47.803434,7,0.3,8.94,0,0.0
26,SUL,-16.025131,-48.051063,163,6.3,59.72,7,4.3
27,Gama,-15.997929999999998,-48.145463,95,3.7,66.12,4,4.2
28,Santa Maria,-16.024697,-47.990179,68,2.6,52.60,3,4.4
29,OESTE,-15.76191,-48.139419000000004,156,6.1,30.72,7,4.5
30,Brazlândia,-15.631225,-48.131325,28,1.1,43.73,0,0.0
31,LESTE,-15.835614000000001,-47.715819,158,6.1,50.39,3,1.9
32,Itapoã,-15.744747,-47.764271,12,0.5,18.53,0,0.0
33,Paranoá,-15.931541000000001,-47.525609,27,1.1,36.15,0,0.0
34,São Sebastião,-15.934012,-47.756858,69,2.7,59.49,1,1.4
35,Jardim Botânico,-15.855691,-47.809974,50,1.9,86.00,2,4.0
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,444,17.3,3307.02,0,0.0
37,Ra em Investigação,nan,nan,23,0.9,0,0,0.0
