,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,197,20.8,23.74,5,2.5
1,Águas Claras,-15.835754999999999,-48.023703999999995,95,10.0,55.67,2,2.1
2,Recanto Das Emas,-15.916970000000001,-48.101851,14,1.5,10.57,1,7.1
3,Samambaia,-15.874647,-48.101735,29,3.1,11.84,1,3.4
4,Taguatinga,-15.829303,-48.055925,33,3.5,15.85,1,3.0
5,Vicente Pires,-15.80135,-48.029207,26,2.7,35.40,0,0.0
6,Central,-15.787416,-47.904364,349,36.9,88.87,3,0.9
7,Plano Piloto,-15.79558,-47.880990999999995,205,21.7,89.01,1,0.5
8,Sudoeste/Octogonal,-15.791981,-47.929973,43,4.5,77.82,1,2.3
9,Cruzeiro,-15.783460999999999,-47.935849,14,1.5,45.37,0,0.0
10,Lago Norte,-15.716135999999999,-47.872314,21,2.2,56.56,0,0.0
11,Lago Sul,-15.866769,-47.863069,66,7.0,217.68,1,1.5
12,Varjão do Torto,-15.709045999999999,-47.878307,0,0.0,0.00,0,0.0
13,Centro Sul,-15.832904000000001,-47.964603000000004,105,11.1,27.57,7,6.7
14,Candangolândia,-15.850394,-47.948315,2,0.2,12.24,0,0.0
15,Parkway,-15.912218,-47.958777000000005,15,1.6,65.05,0,0.0
16,Guará,-15.819059,-47.979659999999996,54,5.7,38.42,3,5.6
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,11,1.2,45.80,1,9.1
18,Riacho Fundo I,-15.882885,-48.016892999999996,6,0.6,13.69,2,33.3
19,Riacho Fundo II,-15.924313,-48.037374,4,0.4,4.27,0,0.0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,11,1.2,29.92,1,9.1
21,Norte,-15.661909,-47.813598,35,3.7,9.86,0,0.0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,Planaltina,-15.713838,-47.520359,13,1.4,6.63,0,0.0
24,Sobradinho I,-15.653501,-47.802873999999996,20,2.1,28.10,0,0.0
25,Sobradinho II,-15.621837,-47.803434,2,0.2,2.55,0,0.0
26,Sul,-16.025131,-48.051063,51,5.4,18.68,5,9.8
27,Gama,-15.997929999999998,-48.145463,31,3.3,21.57,3,9.7
28,Santa Maria,-16.024697,-47.990179,20,2.1,15.47,2,10.0
29,Oeste,-15.76191,-48.139419000000004,48,5.1,9.45,4,8.3
30,Brazlândia,-15.631225,-48.131325,4,0.4,6.25,0,0.0
31,Leste,-15.835614000000001,-47.715819,161,17.0,51.35,2,1.2
32,Itapoã,-15.744747,-47.764271,1,0.1,1.54,0,0.0
33,Paranoá,-15.931541000000001,-47.525609,4,0.4,5.36,0,0.0
34,São Sebastião,-15.934012,-47.756858,24,2.5,20.69,0,0.0
35,Jardim Botânico,-15.855691,-47.809974,19,2.0,32.68,2,10.5
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,113,11.9,841.65,0,0.0
