,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,53,17.4,6.39,0,0
1,Águas Claras,-15.835754999999999,-48.023703999999995,34,11.1,19.93,0,0
2,Recanto Das Emas,-15.916970000000001,-48.101851,1,0.3,0.76,0,0
3,Samambaia,-15.874647,-48.101735,5,1.6,2.04,0,0
4,Taguatinga,-15.829303,-48.055925,7,2.3,3.36,0,0
5,Vicente Pires,-15.80135,-48.029207,6,2.0,8.17,0,0
6,Central,-15.787416,-47.904364,199,65.2,50.68,0,0
7,Plano Piloto,-15.79558,-47.880990999999995,99,32.5,42.99,0,0
8,Sudoeste/Octogonal,-15.791981,-47.929973,31,10.2,56.10,0,0
9,Cruzeiro,-15.783460999999999,-47.935849,4,1.3,12.96,0,0
10,Lago Norte,-15.716135999999999,-47.872314,10,3.3,26.93,0,0
11,Lago Sul,-15.866769,-47.863069,55,18.0,181.40,0,0
12,Varjão do Torto,-15.709045999999999,-47.878307,0,0.0,0.00,0,0
13,Centro Sul,-15.832904000000001,-47.964603000000004,24,7.9,6.30,0,0
14,Candangolândia,-15.850394,-47.948315,0,0.0,0.00,0,0
15,Parkway,-15.912218,-47.958777000000005,6,2.0,26.02,0,0
16,Guará,-15.819059,-47.979659999999996,15,4.9,10.67,0,0
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,2,0.7,8.33,0,0
18,Riacho Fundo I,-15.882885,-48.016892999999996,1,0.3,2.28,0,0
19,Riacho Fundo Ii,-15.924313,-48.037374,0,0.0,0.00,0,0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,0,0.0,0.00,0,0
21,Norte,-15.661909,-47.813598,8,2.6,2.25,0,0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0
23,Planaltina,-15.713838,-47.520359,0,0.0,0.00,0,0
24,Sobradinho I,-15.653501,-47.802873999999996,7,2.3,9.84,0,0
25,Sobradinho II,-15.621837,-47.803434,1,0.3,1.28,0,0
26,Sul,-16.025131,-48.051063,7,2.3,2.56,0,0
27,Gama,-15.997929999999998,-48.145463,5,1.6,3.48,0,0
28,Santa Maria,-16.024697,-47.990179,2,0.7,1.55,0,0
29,Leste,-15.835614000000001,-47.715819,11,3.6,3.51,0,0
30,Jardim Botânico,-15.855691,-47.809974,7,2.3,12.04,0,0
31,Itapoã,-15.744747,-47.764271,0,0.0,0.00,0,0
32,Paranoá,-15.931541000000001,-47.525609,1,0.3,1.34,0,0
33,São Sebastião,-15.934012,-47.756858,3,1.0,2.59,0,0
34,Oeste,-15.76191,-48.139419000000004,3,1.0,0.59,0,0
35,Brazlândia,-15.631225,-48.131325,0,0.0,0.00,0,0
36,Ceilândia,-15.817297,-48.170522999999996,3,1.0,0.68,0,0
