,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2021-02-10,SUDOESTE,"-15,848741","-48,067949",67189,27.1,8098,1206,1.8
1,2021-02-10,Águas Claras,"-15,835755","-48,023704",15810,6.4,9265,144,0.9
2,2021-02-10,Recanto das Emas,"-15,91697","-48,101851",6909,2.8,5216,154,2.2
3,2021-02-10,Samambaia,"-15,874647","-48,101735",16279,6.6,6645,354,2.2
4,2021-02-10,Taguatinga,"-15,829303","-48,055925",22823,9.2,10963,466,2.0
5,2021-02-10,Vicente Pires,"-15,80135","-48,029207",5368,2.2,7308,88,1.6
6,2021-02-10,CENTRAL,"-15,787416","-47,904364",43677,17.6,11122,499,1.1
7,2021-02-10,Plano Piloto,"-15,79558","-47,880991",26352,10.6,11441,326,1.2
8,2021-02-10,Sudoeste/Octogonal,"-15,791981","-47,929973",5992,2.4,10843,45,0.8
9,2021-02-10,Cruzeiro,"-15,783461","-47,935849",3136,1.3,10164,40,1.3
10,2021-02-10,Lago Norte,"-15,716136","-47,872314",3330,1.3,8969,38,1.1
11,2021-02-10,Lago Sul,"-15,866769","-47,863069",4450,1.8,14676,44,1.0
12,2021-02-10,CENTRO SUL,"-15,832904","-47,964603",28472,11.5,7476,487,1.7
13,2021-02-10,Candangolândia,"-15,850394","-47,948315",1527,0.6,9346,28,1.8
14,2021-02-10,Parkway,"-15,912218","-47,958777",2100,0.8,9107,36,1.7
15,2021-02-10,Guará,"-15,819059","-47,97966",13605,5.5,9679,223,1.6
16,2021-02-10,Núcleo Bandeirante,"-15,872164","-47,968502",2335,0.9,9721,49,2.1
17,2021-02-10,Riacho Fundo I,"-15,882885","-48,016893",4706,1.9,10740,79,1.7
18,2021-02-10,Riacho Fundo II,"-15,924313","-48,037374",2530,1.0,2702,41,1.6
19,2021-02-10,SCIA (Estrutural),"-15,783705","-47,987222",1596,0.6,4340,31,1.9
20,2021-02-10,SIA,"-15,802812","-47,960215",73,0.0,2785,0,0.0
21,2021-02-10,NORTE,"-15,661909","-47,813598",21577,8.7,6077,435,2.0
22,2021-02-10,Fercal,"-15,598803","-47,86915",199,0.1,2100,2,0.0
23,2021-02-10,Planaltina,"-15,713838","-47,520359",9524,3.8,4857,209,2.2
24,2021-02-10,Sobradinho I,"-15,653501","-47,802874",10498,4.2,14751,192,1.8
25,2021-02-10,Sobradinho II,"-15,621837","-47,803434",1356,0.5,1732,32,2.4
26,2021-02-10,SUL,"-16,025131","-48,051063",21967,8.9,8047,495,2.3
27,2021-02-10,Gama,"-15,99793","-48,145463",13129,5.3,9137,292,2.2
28,2021-02-10,Santa Maria,"-16,024697","-47,990179",8838,3.6,6836,203,2.3
29,2021-02-10,OESTE,"-15,76191","-48,139419",34947,14.1,6881,902,2.6
30,2021-02-10,Brazlândia,"-15,631225","-48,131325",3711,1.5,5795,90,2.4
31,2021-02-10,Ceilândia,"-15,817297","-48,170523",31236,12.6,7037,812,2.6
32,2021-02-10,LESTE,"-15,835614","-47,715819",16322,6.6,5205,219,1.3
33,2021-02-10,Itapoã,"-15,744747","-47,764271",2397,1.0,3702,24,1.0
34,2021-02-10,Paranoá,"-15,931541","-47,525609",4602,1.9,6161,71,1.5
35,2021-02-10,São Sebastião,"-15,934012","-47,756858",6631,2.7,5716,99,1.5
36,2021-02-10,Jardim Botânico,"-15,855691","-47,809974",2692,1.1,4630,21,0.8
37,2021-02-10,População Privada de Liberdade,"-15,90473","-47,80732",1981,0.8,14754,4,0.2
38,2021-02-10,RA em Investigação,nan,nan,11430,4.6,0,0.0,
39,2021-02-10,Total DF,-15.773805,-47.807301,247562,100,8110,4243,1.7
