,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",3235,22.6,389.91,58,1.8
1,Águas Claras,"-15,835755","-48,023704",646,4.5,378.58,11,1.7
2,Recanto das Emas,"-15,91697","-48,101851",341,2.4,257.46,13,3.8
3,Samambaia,"-15,874647","-48,101735",948,6.6,387.00,25,2.6
4,Taguatinga,"-15,829303","-48,055925",1094,7.6,525.51,8,0.7
5,Vicente Pires,"-15,80135","-48,029207",206,1.4,280.46,1,0.5
6,CENTRAL,"-15,787416","-47,904364",2129,14.9,542.15,19,0.9
7,Plano Piloto,"-15,79558","-47,880991",1319,9.2,572.71,11,0.8
8,Sudoeste/Octogonal,"-15,791981","-47,929973",251,1.8,454.23,4,1.6
9,Cruzeiro,"-15,783461","-47,935849",119,0.8,385.69,0,0.0
10,Lago Norte,"-15,716136","-47,872314",171,1.2,460.58,1,0.6
11,Lago Sul,"-15,866769","-47,863069",257,1.8,847.63,3,1.2
12,Varjão do Torto,"-15,709046","-47,878307",12,0.1,135.92,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",1525,10.6,400.48,26,1.7
14,Candangolândia,"-15,850394","-47,948315",51,0.4,312.16,1,2.0
15,Parkway,"-15,912218","-47,958777",89,0.6,385.98,1,1.1
16,Guará,"-15,819059","-47,97966",603,4.2,429.00,10,1.7
17,Núcleo Bandeirante,"-15,872164","-47,968502",124,0.9,516.26,2,1.6
18,Riacho Fundo I,"-15,882885","-48,016893",244,1.7,556.89,7,2.9
19,Riacho Fundo II,"-15,924313","-48,037374",92,0.6,98.27,1,1.1
20,SCIA (Estrutural),"-15,783705","-47,987222",317,2.2,862.12,4,1.3
21,SIA,"-15,802812","-47,960215",5,0.0,190.77,0,0.0
22,NORTE,"-15,661909","-47,813598",1119,7.8,315.21,17,1.5
23,Fercal,"-15,598803","-47,86915",14,0.1,147.80,0,0.0
24,Planaltina,"-15,713838","-47,520359",552,3.9,281.51,10,1.8
25,Sobradinho I,"-15,653501","-47,802874",491,3.4,689.95,7,1.4
26,Sobradinho II,"-15,621837","-47,803434",62,0.4,79.20,0,0.0
27,SUL,"-16,025131","-48,051063",1216,8.5,445.49,16,1.3
28,Gama,"-15,99793","-48,145463",704,4.9,489.95,9,1.3
29,Santa Maria,"-16,024697","-47,990179",512,3.6,396.07,7,1.4
30,OESTE,"-15,76191","-48,139419",2104,14.7,414.29,45,2.1
31,Brazlândia,"-15,631225","-48,131325",252,1.8,393.58,3,1.2
32,Ceilândia,"-15,817297","-48,170523",1852,12.9,417.28,42,2.3
33,LESTE,"-15,835614","-47,715819",1073,7.5,342.20,11,1.0
34,Itapoã,"-15,744747","-47,764271",120,0.8,185.34,1,0.8
35,Paranoá,"-15,931541","-47,525609",405,2.8,542.24,3,0.7
36,São Sebastião,"-15,934012","-47,756858",389,2.7,335.38,3,0.8
37,Jardim Botânico,"-15,855691","-47,809974",159,1.1,273.49,2,1.3
38,População Privada de Liberdade,"-15,90473","-47,80732",811,5.7,6040.52,2,0.2
39,RA em Investigação,nan,nan,1118,7.8,0,0.0,
