,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,-15.848741,-48.067949,1.301,23.2,156.81,23,1.8
1,Recanto das Emas,-15.916970000000001,-48.101851,115,2.1,86.83,3,2.6
2,Samambaia,-15.874647,-48.101735,372,6.6,151.86,9,2.4
3,Taguatinga,-15.829303,-48.055925,369,6.6,177.25,3,0.8
4,Vicente Pires,-15.80135,-48.029207,89,1.6,121.17,0,0.0
5,CENTRAL,-15.787416,-47.904364,1.079,19.3,274.77,6,0.6
6,Plano Piloto,-15.79558,-47.880990999999995,650,11.6,282.23,4,0.6
7,Sudoeste/octogonal,-15.791981,-47.929973,118,2.1,213.54,1,0.8
8,Cruzeiro,-15.783460999999999,-47.935849,61,1.1,197.71,0,0.0
9,Lago Norte,-15.716135999999999,-47.872314,87,1.6,234.33,0,0.0
10,Lago Sul,-15.866769,-47.863069,159,2.8,524.41,1,0.6
11,Varjão do Torto,-15.709045999999999,-47.878307,4,0.1,45.31,0,0.0
12,CENTRO SUL,-15.832904000000001,-47.964603000000004,507,9.0,133.14,16,3.2
13,Candangolândia,-15.850394,-47.948315,23,0.4,140.78,1,4.3
14,Parkway,-15.912218,-47.958777000000005,51,0.9,221.18,0,0.0
15,Guará,-15.819059,-47.979659999999996,247,4.4,175.73,7,2.8
16,Núcleo Bandeirante,-15.872164000000001,-47.968502,40,0.7,166.53,1,2.5
17,Riacho Fundo I,-15.882885,-48.016892999999996,79,1.4,180.30,4,5.1
18,Riacho Fundo II,-15.924313,-48.037374,27,0.5,28.84,1,3.7
19,Scia (Estrutural),-15.783705,-47.987221999999996,36,0.6,97.91,2,5.6
20,S i a,-15.802812,-47.960215000000005,4,0.1,152.61,0,0.0
21,NORTE,-15.661909,-47.813598,433,7.7,121.97,7,1.6
22,Fercal,-15.598803,-47.86915,7,0.1,73.90,0,0.0
23,Planaltina,-15.713838,-47.520359,218,3.9,111.18,6,2.8
24,Sobradinho I,-15.653501,-47.802873999999996,183,3.3,257.15,1,0.5
25,Sobradinho II,-15.621837,-47.803434,25,0.4,31.94,0,0.0
26,SUL,-16.025131,-48.051063,437,7.8,160.10,10,2.3
27,Gama,-15.997929999999998,-48.145463,257,4.6,178.86,4,1.6
28,Santa Maria,-16.024697,-47.990179,180,3.2,139.24,6,3.3
29,OESTE,-15.76191,-48.139419000000004,634,11.3,124.84,21,3.3
30,Brazlândia,-15.631225,-48.131325,78,1.4,121.82,1,1.3
31,LESTE,-15.835614000000001,-47.715819,392,7.0,125.01,6,1.5
32,Itapoã,-15.744747,-47.764271,28,0.5,43.25,1,3.6
33,Paranoá,-15.931541000000001,-47.525609,119,2.1,159.33,0,0.0
34,São Sebastião,-15.934012,-47.756858,160,2.9,137.95,2,1.3
35,Jardim Botânico,-15.855691,-47.809974,85,1.5,146.20,2,2.4
36,População Privada de Liberdade,-15.904729999999999,-47.807320000000004,658,11.7,4900.94,1,0.2
37,Ra em Investigação,nan,nan,164,2.9,0,0,0.0
