,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",1643,23.5,198.03,39,2.4
1,Águas Claras,"-15,835755","-48,023704",398,5.7,233.25,8,2.0
2,Recanto das Emas,"-15,91697","-48,101851",156,2.2,117.78,7,4.5
3,Samambaia,"-15,874647","-48,101735",494,7.1,201.67,19,3.8
4,Taguatinga,"-15,829303","-48,055925",488,7.0,234.42,4,0.8
5,Vicente Pires,"-15,80135","-48,029207",107,1.5,145.67,1,0.9
6,CENTRAL,"-15,787416","-47,904364",1238,17.7,315.25,10,0.8
7,Plano Piloto,"-15,79558","-47,880991",750,10.7,325.65,8,1.1
8,Sudoeste/Octogonal,"-15,791981","-47,929973",136,1.9,246.12,1,0.7
9,Cruzeiro,"-15,783461","-47,935849",76,1.1,246.32,0,0.0
10,Lago Norte,"-15,716136","-47,872314",99,1.4,266.65,0,0.0
11,Lago Sul,"-15,866769","-47,863069",172,2.5,567.28,1,0.6
12,Varjão do Torto,"-15,709046","-47,878307",5,0.1,56.63,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",691,9.9,181.46,19,2.7
14,Candangolândia,"-15,850394","-47,948315",25,0.4,153.02,1,4.0
15,Parkway,"-15,912218","-47,958777",59,0.8,255.88,1,1.7
16,Guará,"-15,819059","-47,97966",304,4.4,216.28,9,3.0
17,Núcleo Bandeirante,"-15,872164","-47,968502",62,0.9,258.13,1,1.6
18,Riacho Fundo I,"-15,882885","-48,016893",109,1.6,248.77,4,3.7
19,Riacho Fundo II,"-15,924313","-48,037374",38,0.5,40.59,1,2.6
20,SCIA (Estrutural),"-15,783705","-47,987222",91,1.3,247.48,2,2.2
21,SIA,"-15,802812","-47,960215",3,0.0,114.46,0,0.0
22,NORTE,"-15,661909","-47,813598",568,8.1,160.00,8,1.4
23,Fercal,"-15,598803","-47,86915",10,0.1,105.57,0,0.0
24,Planaltina,"-15,713838","-47,520359",278,4.0,141.77,6,2.2
25,Sobradinho I,"-15,653501","-47,802874",248,3.6,348.49,2,0.8
26,Sobradinho II,"-15,621837","-47,803434",32,0.5,40.88,0,0.0
27,SUL,"-16,025131","-48,051063",569,8.2,208.46,10,1.8
28,Gama,"-15,99793","-48,145463",333,4.8,231.75,4,1.2
29,Santa Maria,"-16,024697","-47,990179",236,3.4,182.56,6,2.5
30,OESTE,"-15,76191","-48,139419",807,11.6,158.90,29,3.6
31,Brazlândia,"-15,631225","-48,131325",93,1.3,145.25,2,2.2
32,Ceilândia,"-15,817297","-48,170523",714,10.2,160.87,27,3.8
33,LESTE,"-15,835614","-47,715819",498,7.1,158.82,8,1.6
34,Itapoã,"-15,744747","-47,764271",41,0.6,63.32,1,2.4
35,Paranoá,"-15,931541","-47,525609",171,2.5,228.95,1,0.6
36,São Sebastião,"-15,934012","-47,756858",190,2.7,163.81,3,1.6
37,Jardim Botânico,"-15,855691","-47,809974",96,1.4,165.12,2,2.1
38,População Privada de Liberdade,"-15,90473","-47,80732",692,9.9,5154.18,1,0.1
39,RA em Investigação,nan,nan,273,3.9,0,0.0,
