,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-12-26,SUDOESTE,"-15,848741","-48,067949",59415,27.4,7161,1108,1.9
1,2020-12-26,Águas Claras,"-15,835755","-48,023704",13381,6.2,7841,122,0.9
2,2020-12-26,Recanto das Emas,"-15,91697","-48,101851",6322,2.9,4773,150,2.4
3,2020-12-26,Samambaia,"-15,874647","-48,101735",14897,6.9,6081,328,2.2
4,2020-12-26,Taguatinga,"-15,829303","-48,055925",20202,9.3,9704,430,2.1
5,2020-12-26,Vicente Pires,"-15,80135","-48,029207",4613,2.1,6280,78,1.7
6,2020-12-26,CENTRAL,"-15,787416","-47,904364",36125,16.6,9199,438,1.2
7,2020-12-26,Plano Piloto,"-15,79558","-47,880991",21850,10.1,9487,293,1.3
8,2020-12-26,Sudoeste/Octogonal,"-15,791981","-47,929973",4945,2.3,8948,38,0.8
9,2020-12-26,Cruzeiro,"-15,783461","-47,935849",2665,1.2,8637,34,1.3
10,2020-12-26,Lago Norte,"-15,716136","-47,872314",2673,1.2,7199,32,1.2
11,2020-12-26,Lago Sul,"-15,866769","-47,863069",3628,1.7,11965,36,1.0
12,2020-12-26,CENTRO SUL,"-15,832904","-47,964603",24836,11.4,6522,444,1.8
13,2020-12-26,Candangolândia,"-15,850394","-47,948315",1414,0.7,8654,25,1.8
14,2020-12-26,Parkway,"-15,912218","-47,958777",1713,0.8,7429,33,1.9
15,2020-12-26,Guará,"-15,819059","-47,97966",11597,5.3,8250,208,1.8
16,2020-12-26,Núcleo Bandeirante,"-15,872164","-47,968502",2084,1.0,8676,44,2.1
17,2020-12-26,Riacho Fundo I,"-15,882885","-48,016893",4218,1.9,9626,71,1.7
18,2020-12-26,Riacho Fundo II,"-15,924313","-48,037374",2374,1.1,2535,34,1.4
19,2020-12-26,SCIA (Estrutural),"-15,783705","-47,987222",1365,0.6,3712,29,2.1
20,2020-12-26,SIA,"-15,802812","-47,960215",71,0.0,2708,0,0.0
21,2020-12-26,NORTE,"-15,661909","-47,813598",18905,8.7,5325,388,2.1
22,2020-12-26,Fercal,"-15,598803","-47,86915",149,0.1,1573,1,0.0
23,2020-12-26,Planaltina,"-15,713838","-47,520359",8381,3.9,4274,193,2.3
24,2020-12-26,Sobradinho I,"-15,653501","-47,802874",9139,4.2,12841,164,1.8
25,2020-12-26,Sobradinho II,"-15,621837","-47,803434",1236,0.6,1578,30,2.4
26,2020-12-26,SUL,"-16,025131","-48,051063",19688,9.1,7212,443,2.3
27,2020-12-26,Gama,"-15,99793","-48,145463",11736,5.4,8167,249,2.1
28,2020-12-26,Santa Maria,"-16,024697","-47,990179",7952,3.7,6151,194,2.4
29,2020-12-26,OESTE,"-15,76191","-48,139419",32056,14.8,6312,829,2.6
30,2020-12-26,Brazlândia,"-15,631225","-48,131325",3280,1.5,5122,76,2.3
31,2020-12-26,Ceilândia,"-15,817297","-48,170523",28776,13.2,6483,753,2.6
32,2020-12-26,LESTE,"-15,835614","-47,715819",14783,6.8,4714,199,1.3
33,2020-12-26,Itapoã,"-15,744747","-47,764271",2293,1.1,3541,24,1.0
34,2020-12-26,Paranoá,"-15,931541","-47,525609",4286,2.0,5738,69,1.6
35,2020-12-26,São Sebastião,"-15,934012","-47,756858",5963,2.7,5141,86,1.4
36,2020-12-26,Jardim Botânico,"-15,855691","-47,809974",2241,1.0,3854,16,0.7
37,2020-12-26,População Privada de Liberdade,"-15,90473","-47,80732",1946,0.9,14494,4,0.2
38,2020-12-26,RA em Investigação,nan,nan,9479,4.4,0,0.0,
39,2020-12-26,Total DF,-15.773805,-47.807301,217233,100,7116,3849,1.8
