,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,165,21.1,19.89,0,0
1,Águas Claras,-15.835754999999999,-48.023703999999995,82,10.5,48.06,0,0
2,Recanto Das Emas,-15.916970000000001,-48.101851,6,0.8,4.53,0,0
3,Samambaia,-15.874647,-48.101735,25,3.2,10.21,0,0
4,Taguatinga,-15.829303,-48.055925,27,3.4,12.97,0,0
5,Vicente Pires,-15.80135,-48.029207,25,3.2,34.04,0,0
6,Central,-15.787416,-47.904364,333,42.5,84.80,0,0
7,Plano Piloto,-15.79558,-47.880990999999995,194,24.8,84.23,0,0
8,Sudoeste/Octogonal,-15.791981,-47.929973,42,5.4,76.01,0,0
9,Cruzeiro,-15.783460999999999,-47.935849,11,1.4,35.65,0,0
10,Lago Norte,-15.716135999999999,-47.872314,21,2.7,56.56,0,0
11,Lago Sul,-15.866769,-47.863069,65,8.3,214.38,0,0
12,Varjão do Torto,-15.709045999999999,-47.878307,0,0.0,0.00,0,0
13,Centro Sul,-15.832904000000001,-47.964603000000004,80,10.2,21.01,0,0
14,Candangolândia,-15.850394,-47.948315,2,0.3,12.24,0,0
15,Parkway,-15.912218,-47.958777000000005,12,1.5,52.04,0,0
16,Guará,-15.819059,-47.979659999999996,42,5.4,29.88,0,0
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,9,1.1,37.47,0,0
18,Riacho Fundo I,-15.882885,-48.016892999999996,5,0.6,11.41,0,0
19,Riacho Fundo II,-15.924313,-48.037374,1,0.1,1.07,0,0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,7,0.9,19.04,0,0
21,Norte,-15.661909,-47.813598,29,3.7,8.17,0,0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0
23,Planaltina,-15.713838,-47.520359,10,1.3,5.10,0,0
24,Sobradinho I,-15.653501,-47.802873999999996,18,2.3,25.29,0,0
25,Sobradinho II,-15.621837,-47.803434,1,0.1,1.28,0,0
26,Sul,-16.025131,-48.051063,34,4.3,12.46,0,0
27,Gama,-15.997929999999998,-48.145463,21,2.7,14.61,0,0
28,Santa Maria,-16.024697,-47.990179,13,1.7,10.06,0,0
29,Leste,-15.835614000000001,-47.715819,109,13.9,34.76,0,0
30,Jardim Botânico,-15.855691,-47.809974,22,2.8,37.84,0,0
31,Itapoã,-15.744747,-47.764271,1,0.1,1.54,0,0
32,Paranoá,-15.931541000000001,-47.525609,3,0.4,4.02,0,0
33,Oeste,-15.76191,-48.139419000000004,33,4.2,6.50,0,0
34,Brazlândia,-15.631225,-48.131325,1,0.1,1.56,0,0
