,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",1992,23.3,240.09,47,2.4
1,Águas Claras,"-15,835755","-48,023704",451,5.3,264.31,9,2.0
2,Recanto das Emas,"-15,91697","-48,101851",190,2.2,143.45,10,5.3
3,Samambaia,"-15,874647","-48,101735",603,7.1,246.16,21,3.5
4,Taguatinga,"-15,829303","-48,055925",619,7.2,297.34,6,1.0
5,Vicente Pires,"-15,80135","-48,029207",129,1.5,175.62,1,0.8
6,CENTRAL,"-15,787416","-47,904364",1452,17.0,369.75,16,1.1
7,Plano Piloto,"-15,79558","-47,880991",872,10.2,378.62,10,1.1
8,Sudoeste/Octogonal,"-15,791981","-47,929973",164,1.9,296.79,3,1.8
9,Cruzeiro,"-15,783461","-47,935849",94,1.1,304.66,0,0.0
10,Lago Norte,"-15,716136","-47,872314",124,1.5,333.99,1,0.8
11,Lago Sul,"-15,866769","-47,863069",193,2.3,636.54,2,1.0
12,Varjão do Torto,"-15,709046","-47,878307",5,0.1,56.63,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",887,10.4,232.93,21,2.4
14,Candangolândia,"-15,850394","-47,948315",34,0.4,208.10,1,2.9
15,Parkway,"-15,912218","-47,958777",71,0.8,307.92,1,1.4
16,Guará,"-15,819059","-47,97966",366,4.3,260.39,9,2.5
17,Núcleo Bandeirante,"-15,872164","-47,968502",75,0.9,312.25,2,2.7
18,Riacho Fundo I,"-15,882885","-48,016893",130,1.5,296.70,4,3.1
19,Riacho Fundo II,"-15,924313","-48,037374",47,0.6,50.21,1,2.1
20,SCIA (Estrutural),"-15,783705","-47,987222",161,1.9,437.86,3,1.9
21,SIA,"-15,802812","-47,960215",3,0.0,114.46,0,0.0
22,NORTE,"-15,661909","-47,813598",734,8.6,206.76,10,1.4
23,Fercal,"-15,598803","-47,86915",12,0.1,126.69,0,0.0
24,Planaltina,"-15,713838","-47,520359",379,4.4,193.28,6,1.6
25,Sobradinho I,"-15,653501","-47,802874",298,3.5,418.75,4,1.3
26,Sobradinho II,"-15,621837","-47,803434",45,0.5,57.48,0,0.0
27,SUL,"-16,025131","-48,051063",683,8.0,250.22,12,1.8
28,Gama,"-15,99793","-48,145463",403,4.7,280.47,6,1.5
29,Santa Maria,"-16,024697","-47,990179",280,3.3,216.60,6,2.1
30,OESTE,"-15,76191","-48,139419",1115,13.1,219.55,35,3.1
31,Brazlândia,"-15,631225","-48,131325",130,1.5,203.04,3,2.3
32,Ceilândia,"-15,817297","-48,170523",985,11.5,221.93,32,3.2
33,LESTE,"-15,835614","-47,715819",582,6.8,185.61,8,1.4
34,Itapoã,"-15,744747","-47,764271",51,0.6,78.77,1,2.0
35,Paranoá,"-15,931541","-47,525609",201,2.4,269.11,1,0.5
36,São Sebastião,"-15,934012","-47,756858",220,2.6,189.67,3,1.4
37,Jardim Botânico,"-15,855691","-47,809974",110,1.3,189.20,2,1.8
38,População Privada de Liberdade,"-15,90473","-47,80732",758,8.9,5645.76,1,0.1
39,RA em Investigação,nan,nan,335,3.9,0,0.0,
