,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,-15.848741,-48.067949,475,21.4,57.25,9,1.9
1,RECANTO DAS EMAS,-15.916970000000001,-48.101851,31,1.4,23.41,1,3.2
2,SAMAMBAIA,-15.874647,-48.101735,99,4.5,40.41,3,3.0
3,TAGUATINGA,-15.829303,-48.055925,99,4.5,47.56,1,1.0
4,VICENTE PIRES,-15.80135,-48.029207,44,2.0,59.90,0,0.0
5,CENTRAL,-15.787416,-47.904364,551,24.9,140.31,3,0.5
6,PLANO PILOTO,-15.79558,-47.880990999999995,314,14.2,136.34,1,0.3
7,SUDOESTE/OCTOGONAL,-15.791981,-47.929973,72,3.2,130.30,1,1.4
8,CRUZEIRO,-15.783460999999999,-47.935849,19,0.9,61.58,0,0.0
9,LAGO NORTE,-15.716135999999999,-47.872314,29,1.3,78.11,0,0.0
10,LAGO SUL,-15.866769,-47.863069,115,5.2,379.29,1,0.9
11,VARJÃO DO TORTO,-15.709045999999999,-47.878307,2,0.1,22.65,0,0.0
12,CENTRO SUL,-15.832904000000001,-47.964603000000004,238,10.7,62.50,9,3.8
13,CANDANGOLÂNDIA,-15.850394,-47.948315,6,0.3,36.72,0,0.0
14,PARKWAY,-15.912218,-47.958777000000005,29,1.3,125.77,0,0.0
15,GUARÁ,-15.819059,-47.979659999999996,110,5.0,78.26,4,3.6
16,NÚCLEO BANDEIRANTE,-15.872164000000001,-47.968502,18,0.8,74.94,1,5.6
17,RIACHO FUNDO I,-15.882885,-48.016892999999996,31,1.4,70.75,3,9.7
18,RIACHO FUNDO II,-15.924313,-48.037374,15,0.7,16.02,0,0.0
19,SCIA (ESTRUTURAL),-15.783705,-47.987221999999996,25,1.1,67.99,1,4.0
20,S I A,-15.802812,-47.960215000000005,4,0.2,152.61,0,0.0
21,NORTE,-15.661909,-47.813598,124,5.6,34.93,1,0.8
22,FERCAL,-15.598803,-47.86915,0,0.0,0.00,0,0.0
23,PLANALTINA,-15.713838,-47.520359,70,3.2,35.70,1,1.4
24,SOBRADINHO I,-15.653501,-47.802873999999996,48,2.2,67.45,0,0.0
25,SOBRADINHO II,-15.621837,-47.803434,6,0.3,7.66,0,0.0
26,SUL,-16.025131,-48.051063,137,6.2,50.19,6,4.4
27,GAMA,-15.997929999999998,-48.145463,83,3.7,57.76,4,4.8
28,SANTA MARIA,-16.024697,-47.990179,54,2.4,41.77,2,3.7
29,OESTE,-15.76191,-48.139419000000004,123,5.5,24.22,6,4.9
30,BRAZLÂNDIA,-15.631225,-48.131325,21,0.9,32.80,0,0.0
31,LESTE,-15.835614000000001,-47.715819,123,5.5,39.23,2,1.6
32,ITAPOÃ,-15.744747,-47.764271,5,0.2,7.72,0,0.0
33,PARANOÁ,-15.931541000000001,-47.525609,19,0.9,25.44,0,0.0
34,SÃO SEBASTIÃO,-15.934012,-47.756858,55,2.5,47.42,0,0.0
35,JARDIM BOTÂNICO,-15.855691,-47.809974,44,2.0,75.68,2,4.5
36,POPULAÇÃO PRIVADA DE LIBERDADE,-15.904729999999999,-47.807320000000004,419,18.9,3120.81,0,0.0
37,RA EM INVESTIGAÇÃO,nan,nan,27,1.2,0,0,0.0
