,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",4885,23.0,588.79,87,1.8
1,Águas Claras,"-15,835755","-48,023704",923,4.3,540.92,11,1.2
2,Recanto das Emas,"-15,91697","-48,101851",569,2.7,429.61,17,3.0
3,Samambaia,"-15,874647","-48,101735",1451,6.8,592.34,34,2.3
4,Taguatinga,"-15,829303","-48,055925",1631,7.7,783.47,21,1.3
5,Vicente Pires,"-15,80135","-48,029207",311,1.5,423.41,4,1.3
6,CENTRAL,"-15,787416","-47,904364",3000,14.1,763.95,28,0.9
7,Plano Piloto,"-15,79558","-47,880991",1856,8.7,805.87,16,0.9
8,Sudoeste/Octogonal,"-15,791981","-47,929973",370,1.7,669.59,6,1.6
9,Cruzeiro,"-15,783461","-47,935849",184,0.9,596.36,0,0.0
10,Lago Norte,"-15,716136","-47,872314",227,1.1,611.41,1,0.4
11,Lago Sul,"-15,866769","-47,863069",340,1.6,1121.37,4,1.2
12,Varjão do Torto,"-15,709046","-47,878307",23,0.1,260.51,1,0.0
13,CENTRO SUL,"-15,832904","-47,964603",2365,11.1,621.07,36,1.5
14,Candangolândia,"-15,850394","-47,948315",98,0.5,599.83,2,2.0
15,Parkway,"-15,912218","-47,958777",140,0.7,607.16,1,0.7
16,Guará,"-15,819059","-47,97966",877,4.1,623.93,12,1.4
17,Núcleo Bandeirante,"-15,872164","-47,968502",171,0.8,711.94,4,2.3
18,Riacho Fundo I,"-15,882885","-48,016893",481,2.3,1097.80,7,1.5
19,Riacho Fundo II,"-15,924313","-48,037374",151,0.7,161.30,1,0.7
20,SCIA (Estrutural),"-15,783705","-47,987222",425,2.0,1155.83,9,2.1
21,SIA,"-15,802812","-47,960215",22,0.1,839.37,0,0.0
22,NORTE,"-15,661909","-47,813598",1697,8.0,478.02,25,1.5
23,Fercal,"-15,598803","-47,86915",17,0.1,179.48,0,0.0
24,Planaltina,"-15,713838","-47,520359",827,3.9,421.75,15,1.8
25,Sobradinho I,"-15,653501","-47,802874",753,3.5,1058.10,8,1.1
26,Sobradinho II,"-15,621837","-47,803434",100,0.5,127.74,2,2.0
27,SUL,"-16,025131","-48,051063",2010,9.4,736.37,22,1.1
28,Gama,"-15,99793","-48,145463",1185,5.6,824.70,13,1.1
29,Santa Maria,"-16,024697","-47,990179",825,3.9,638.19,9,1.1
30,OESTE,"-15,76191","-48,139419",3450,16.2,679.33,73,2.1
31,Brazlândia,"-15,631225","-48,131325",405,1.9,632.55,4,1.0
32,Ceilândia,"-15,817297","-48,170523",3045,14.3,686.08,69,2.3
33,LESTE,"-15,835614","-47,715819",1864,8.8,594.46,17,0.9
34,Itapoã,"-15,744747","-47,764271",250,1.2,386.12,2,0.8
35,Paranoá,"-15,931541","-47,525609",714,3.4,955.95,3,0.4
36,São Sebastião,"-15,934012","-47,756858",686,3.2,591.44,8,1.2
37,Jardim Botânico,"-15,855691","-47,809974",214,1.0,368.09,2,0.9
38,População Privada de Liberdade,"-15,90473","-47,80732",882,4.1,6569.34,2,0.2
39,RA em Investigação,nan,nan,1130,5.3,0,0.0,
