,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-10-14,SUDOESTE,"-15,848741","-48,067949",49159,27.8,5925,933,1.9
1,2020-10-14,Águas Claras,"-15,835755","-48,023704",10288,5.8,6029,102,1.0
2,2020-10-14,Recanto das Emas,"-15,91697","-48,101851",5458,3.1,4120,135,2.5
3,2020-10-14,Samambaia,"-15,874647","-48,101735",12950,7.3,5286,276,2.1
4,2020-10-14,Taguatinga,"-15,829303","-48,055925",16759,9.5,8050,356,2.1
5,2020-10-14,Vicente Pires,"-15,80135","-48,029207",3704,2.1,5042,64,1.7
6,2020-10-14,CENTRAL,"-15,787416","-47,904364",26438,14.9,6732,350,1.3
7,2020-10-14,Plano Piloto,"-15,79558","-47,880991",15976,9.0,6936,240,1.5
8,2020-10-14,Sudoeste/Octogonal,"-15,791981","-47,929973",3633,2.1,6574,27,0.7
9,2020-10-14,Cruzeiro,"-15,783461","-47,935849",2013,1.1,6524,24,1.2
10,2020-10-14,Lago Norte,"-15,716136","-47,872314",1871,1.1,5039,25,1.3
11,2020-10-14,Lago Sul,"-15,866769","-47,863069",2656,1.5,8759,29,1.1
12,2020-10-14,CENTRO SUL,"-15,832904","-47,964603",20010,11.3,5254,365,1.8
13,2020-10-14,Candangolândia,"-15,850394","-47,948315",1179,0.7,7216,19,1.6
14,2020-10-14,Parkway,"-15,912218","-47,958777",1253,0.7,5434,27,2.2
15,2020-10-14,Guará,"-15,819059","-47,97966",9026,5.1,6421,172,1.9
16,2020-10-14,Núcleo Bandeirante,"-15,872164","-47,968502",1683,1.0,7006,33,2.0
17,2020-10-14,Riacho Fundo I,"-15,882885","-48,016893",3377,1.9,7707,57,1.7
18,2020-10-14,Riacho Fundo II,"-15,924313","-48,037374",2180,1.2,2328,29,1.3
19,2020-10-14,SCIA (Estrutural),"-15,783705","-47,987222",1243,0.7,3380,28,2.3
20,2020-10-14,SIA,"-15,802812","-47,960215",69,0.0,2632,0,0.0
21,2020-10-14,NORTE,"-15,661909","-47,813598",15477,8.7,4359,326,2.1
22,2020-10-14,Fercal,"-15,598803","-47,86915",119,0.1,1256,1,0.0
23,2020-10-14,Planaltina,"-15,713838","-47,520359",7032,4.0,3586,159,2.3
24,2020-10-14,Sobradinho I,"-15,653501","-47,802874",7242,4.1,10176,141,1.9
25,2020-10-14,Sobradinho II,"-15,621837","-47,803434",1084,0.6,1384,25,2.3
26,2020-10-14,SUL,"-16,025131","-48,051063",16348,9.2,5989,378,2.3
27,2020-10-14,Gama,"-15,99793","-48,145463",9621,5.4,6695,207,2.2
28,2020-10-14,Santa Maria,"-16,024697","-47,990179",6727,3.8,5203,171,2.5
29,2020-10-14,OESTE,"-15,76191","-48,139419",27750,15.7,5464,692,2.5
30,2020-10-14,Brazlândia,"-15,631225","-48,131325",2772,1.6,4329,65,2.3
31,2020-10-14,Ceilândia,"-15,817297","-48,170523",24978,14.1,5627,627,2.5
32,2020-10-14,LESTE,"-15,835614","-47,715819",12678,7.2,4043,168,1.3
33,2020-10-14,Itapoã,"-15,744747","-47,764271",1945,1.1,3004,22,1.1
34,2020-10-14,Paranoá,"-15,931541","-47,525609",3940,2.2,5275,65,1.6
35,2020-10-14,São Sebastião,"-15,934012","-47,756858",5046,2.8,4350,62,1.2
36,2020-10-14,Jardim Botânico,"-15,855691","-47,809974",1747,1.0,3004,15,0.9
37,2020-10-14,População Privada de Liberdade,"-15,90473","-47,80732",1856,1.0,13823,4,0.2
38,2020-10-14,RA em Investigação,nan,nan,7391,4.2,0,0.0,
39,2020-10-14,Total DF,-15.773805,-47.807301,177107,100,5801,3212,1.8
