,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-12-25,SUDOESTE,"-15,848741","-48,067949",59264,27.4,7143,1105,1.9
1,2020-12-25,Águas Claras,"-15,835755","-48,023704",13350,6.2,7823,122,0.9
2,2020-12-25,Recanto das Emas,"-15,91697","-48,101851",6311,2.9,4764,149,2.4
3,2020-12-25,Samambaia,"-15,874647","-48,101735",14871,6.9,6070,327,2.2
4,2020-12-25,Taguatinga,"-15,829303","-48,055925",20127,9.3,9668,429,2.1
5,2020-12-25,Vicente Pires,"-15,80135","-48,029207",4605,2.1,6269,78,1.7
6,2020-12-25,CENTRAL,"-15,787416","-47,904364",36058,16.6,9182,438,1.2
7,2020-12-25,Plano Piloto,"-15,79558","-47,880991",21811,10.1,9470,293,1.3
8,2020-12-25,Sudoeste/Octogonal,"-15,791981","-47,929973",4936,2.3,8932,38,0.8
9,2020-12-25,Cruzeiro,"-15,783461","-47,935849",2660,1.2,8621,34,1.3
10,2020-12-25,Lago Norte,"-15,716136","-47,872314",2667,1.2,7183,32,1.2
11,2020-12-25,Lago Sul,"-15,866769","-47,863069",3621,1.7,11942,36,1.0
12,2020-12-25,CENTRO SUL,"-15,832904","-47,964603",24806,11.4,6514,444,1.8
13,2020-12-25,Candangolândia,"-15,850394","-47,948315",1412,0.7,8642,25,1.8
14,2020-12-25,Parkway,"-15,912218","-47,958777",1712,0.8,7424,33,1.9
15,2020-12-25,Guará,"-15,819059","-47,97966",11578,5.3,8237,208,1.8
16,2020-12-25,Núcleo Bandeirante,"-15,872164","-47,968502",2080,1.0,8659,44,2.1
17,2020-12-25,Riacho Fundo I,"-15,882885","-48,016893",4214,1.9,9617,71,1.7
18,2020-12-25,Riacho Fundo II,"-15,924313","-48,037374",2374,1.1,2535,34,1.4
19,2020-12-25,SCIA (Estrutural),"-15,783705","-47,987222",1365,0.6,3712,29,2.1
20,2020-12-25,SIA,"-15,802812","-47,960215",71,0.0,2708,0,0.0
21,2020-12-25,NORTE,"-15,661909","-47,813598",18849,8.7,5309,388,2.1
22,2020-12-25,Fercal,"-15,598803","-47,86915",149,0.1,1573,1,0.0
23,2020-12-25,Planaltina,"-15,713838","-47,520359",8349,3.9,4257,193,2.3
24,2020-12-25,Sobradinho I,"-15,653501","-47,802874",9115,4.2,12808,164,1.8
25,2020-12-25,Sobradinho II,"-15,621837","-47,803434",1236,0.6,1578,30,2.4
26,2020-12-25,SUL,"-16,025131","-48,051063",19661,9.1,7202,443,2.3
27,2020-12-25,Gama,"-15,99793","-48,145463",11718,5.4,8155,249,2.1
28,2020-12-25,Santa Maria,"-16,024697","-47,990179",7943,3.7,6144,194,2.4
29,2020-12-25,OESTE,"-15,76191","-48,139419",31944,14.7,6290,827,2.6
30,2020-12-25,Brazlândia,"-15,631225","-48,131325",3265,1.5,5099,76,2.3
31,2020-12-25,Ceilândia,"-15,817297","-48,170523",28679,13.2,6461,751,2.6
32,2020-12-25,LESTE,"-15,835614","-47,715819",14759,6.8,4706,199,1.3
33,2020-12-25,Itapoã,"-15,744747","-47,764271",2291,1.1,3538,24,1.0
34,2020-12-25,Paranoá,"-15,931541","-47,525609",4286,2.0,5738,69,1.6
35,2020-12-25,São Sebastião,"-15,934012","-47,756858",5945,2.7,5125,86,1.4
36,2020-12-25,Jardim Botânico,"-15,855691","-47,809974",2237,1.0,3847,16,0.7
37,2020-12-25,População Privada de Liberdade,"-15,90473","-47,80732",1944,0.9,14479,4,0.2
38,2020-12-25,RA em Investigação,nan,nan,9389,4.3,0,0.0,
39,2020-12-25,Total DF,-15.773805,-47.807301,216674,100,7098,3844,1.8
